NIST peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1158.911,1159.88335500345,1.2554048549415953,1159,?,0.0
1173.9979,1171.5664699846625,0.43198025148467295,1174,?,0.0
1190.761,1189.798697971352,0.4486398597460435,1191,?,0.0
1215.9056,1216.3820933975112,3.4271204340577746,1216,?,0.0
1318.1605,1315.633784030491,0.43101290177505625,1318,?,0.0
1350.0104,1352.5120456390764,0.41430393767545665,1350,?,0.0
1371.8022,1373.2905267913295,2.8036816602404917,1372,?,0.0
1522.6702,1522.6291922101716,2.5108698516408956,1523,?,0.0
1547.8147,1548.6432087024334,2.119389856537398,1548,?,0.0
1561.2252,1560.3142528246756,0.43737159559825145,1561,?,0.0
1576.312,1577.7670610664443,1.2006586038639793,1576,?,0.0
1641.688,1643.8063191812162,3.294030600924086,1642,?,0.0
1913.2499,1912.8059104942824,2.9847450482007067,1913,?,0.0
