Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1378.6356,1378.6356,0.0,1379,?,0.0
1405.4591,1405.4591,0.0,1405,?,0.0
1479.2235,1479.2235,0.0,1479,?,0.0
1495.9882,1495.9882,0.0,1496,?,0.0
1506.0469,1506.0469,0.0,1506,?,0.0
1524.488,1524.488,0.0,1524,?,0.0
1552.9879,1552.9879,0.0,1553,?,0.0
1574.7819,1574.7819,0.0,1575,?,0.0
1631.7817,1631.7817,0.0,1632,?,0.0
1668.664,1668.664,0.0,1669,?,0.0
1683.7522,1683.7522,0.0,1684,?,0.0
1775.9578,1775.9578,0.0,1776,?,0.0
1883.2513,1883.2513,0.0,1883,?,0.0
1913.4277,1913.4277,0.0,1913,?,0.0
1933.5454,1933.5454,0.0,1934,?,0.0
0.0,1971.8866,0.0,1972,?,False
0.0,1429.0066000000002,0.0,1429,?,False
0.0,1460.8566,0.0,1461,?,False
0.0,1603.4966,0.0,1603,?,False
0.0,1802.9266,0.0,1803,?,False
0.0,1820.9265999999998,0.0,1821,?,False
0.0,1841.7066,0.0,1842,?,False
0.0,1711.5266,0.0,1712,?,False
0.0,1723.9866000000002,0.0,1724,?,False
0.0,1736.4466,0.0,1736,?,False
0.0,1753.0666,0.0,1753,?,False
