Spectrum,Observed,Rel.,Acc.
O II,1637.824,80.0,
O II,1639.767,1000.0,
O II,1639.891,1000.0,
O II,1640.517,1020.0,
O V,1643.68,301050.0,
O II,1644.924,60.0,
Na II,1639.26,1020.0,
Na II,1646.018,1020.0,
Mg IV,1638.522,40.0,B
Mg I,1638.89,0.0,
Mg IV,1640.892,90.0,B
Mg I,1641.957,0.0,
Mg III,1642.826,50.0,B
Mg I,1645.924,0.0,
S IV,1637.769,50.0,D+
S IV,1638.408,10.0,
S I,1641.085,1050.0,
S II,1645.939,10.0,
Ca II,1642.8,40.0,D
Ca II,1643.77,2000.0,D
Ca II,1644.44,3060.0,D
Fe IV,1638.07,1020.0,
Fe IV,1638.3,1020.0,
Fe II,1638.629,205000.0,
Fe IV,1639.4,1040.0,
Fe II,1639.4012,105000000000.0,B+
Fe II,1639.497,10300000.0,D
Fe II,1639.606,50000000.0,D+
Fe V,1639.794,2000.0,D+
Fe III,1639.845,500000.0,
Fe IV,1640.04,1060.0,
Fe II,1640.153,5000000000.0,D+
Fe IV,1640.16,1040.0,
Fe II,1640.2,500000.0,
Fe II,1640.271,60000000.0,D+
Fe II,1640.495,30000000.0,
Fe III,1640.5,500000.0,
Fe II,1640.74,20400000.0,
Fe II,1640.855,70000000.0,D+
Fe II,1640.904,10700000.0,D
Fe II,1641.76298,9000000000.0,D+
Fe IV,1641.87,1050.0,
Fe II,1642.185,70000000.0,D+
Fe II,1642.298,500000.0,
Fe II,1642.432,70000000.0,D+
Fe II,1642.497,70000000.0,D+
Fe II,1642.722,20400000.0,
Fe IV,1642.88,1020.0,
Fe V,1643.427,40.0,C
Fe II,1643.439,30300000.0,D
Fe II,1643.57877,7000000000.0,D+
Fe II,1643.852,500000.0,
Fe II,1643.896,500000.0,
Fe III,1644.173,500000.0,
Fe III,1644.501,40100000.0,
Fe II,1644.756,10700000.0,D
Fe II,1645.014,80000000.0,
Fe II,1645.137,109000.0,
Fe II,1645.698,500000.0,D+
Fe V,1645.742,9040.0,D+
Fe II,1646.1848,4000000000.0,D+
Fe III,1646.392,50600000.0,D
