NIST peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1162.2467,1159.7461754626866,1.1799801758364958,1162,?,0.0
1180.6858,1181.747282002651,0.3847320576440211,1181,?,0.0
1189.0673,1191.5490330328025,0.4641827436140397,1189,?,0.0
1331.5514,1332.0114103281264,2.961507672195671,1332,?,0.0
1462.3015,1462.0220932489638,1.541664732522842,1462,?,0.0
1522.6478,1522.5074327642587,2.7620189560574375,1523,?,0.0
1546.1157,1548.8763869914487,2.2778734723656835,1546,?,0.0
1594.728,1596.0812710325654,3.1116918447799127,1595,?,0.0
1638.3114,1638.4128420309441,3.4470756003351073,1638,?,0.0
1655.0741,1656.7825702426774,2.8491864077569575,1655,?,0.0
1814.3212,1815.5510724364938,2.3355191878076504,1814,?,0.0
