Spectrum,Observed,Rel.,Acc.
C I,1188.835,903000000000.0,B
C I,1188.995,10100000000000.0,B
C I,1189.06,10700000000000.0,B
C I,1189.248,907000000000.0,B
C I,1189.445,10400000000000.0,B
C I,1189.63,10600000000000.0,B
C I,1190.02,208000000000.0,C+
C I,1190.244,800000000000.0,C+
C I,1191.834,806000000000.0,C+
C I,1192.218,608000000000.0,C
C I,1192.449,10100000000000.0,C
C I,1192.833,708000000000.0,B
C I,1193.02,40100000000000.0,B+
C I,1193.02,40100000000000.0,B+
C I,1193.23,1070000000000000.0,B+
C I,1193.249,1060000000000000.0,B+
C I,1193.38,20000000000000.0,B+
C I,1193.649,0.0,B+
C I,1193.668,20100000000000.0,A
C I,1194.028,703000000000.0,A
C I,1194.065,30000000000000.0,B+
C I,1194.22,10100000000000.0,A
C I,1194.3,10100000000000.0,B+
C I,1194.404,10700000000000.0,A
C I,1194.486,60700000000000.0,B+
C I,1194.616,10600000000000.0,A
C I,1194.675,700000000000.0,B+
C I,1197.87,206000000000.0,C
C I,1198.243,107000000000.0,C
N III,1183.031,500000.0,B
N III,1184.55,507000.0,
N IV,1188.01,9000.0,B
Na II,1178.777,6000.0,
Na II,1179.212,6000.0,
Na II,1179.623,4000.0,
Na II,1180.153,6000.0,
Na II,1183.109,7000.0,
Na II,1183.498,3000.0,
Na II,1184.421,7000.0,
Na II,1198.237,2050.0,
Na II,1198.767,4000.0,
Si II,1190.42,100000.0,C+
Si II,1193.28,200000.0,B
Si II,1194.5,205000.0,B
Si II,1197.39,100000.0,C+
S I,1179.3,0.0,
S I,1181.59,0.0,
S III,1190.206,100000.0,B
S IV,1193.566,10.0,
S III,1194.061,105000.0,B
S III,1194.457,100000.0,C+
Cl I,1179.293,30000000.0,
Cl I,1188.774,10200000.0,C
Ca III,1181.988,109000.0,C
Ca III,1187.303,209000.0,C
Ca III,1188.606,10200000.0,C
Ca III,1190.864,209000.0,C
Ca III,1193.697,109000.0,C
Fe II,1178.612,900000.0,
Fe III,1179.175,803000.0,
Fe III,1179.217,60800000.0,
Fe II,1179.389,20000000.0,
Fe II,1179.774,10600000.0,
Fe II,1180.107,60000000.0,D
Fe II,1180.107,60000000.0,D
Fe II,1180.149,203000.0,
Fe II,1180.367,40000000.0,E
Fe II,1180.367,40000000.0,
Fe II,1180.426,60000000.0,D+
Fe II,1180.565,20000000.0,
Fe II,1180.749,20000000.0,
Fe III,1180.8,10500000.0,
Fe VII,1180.819,407000.0,E
Fe II,1180.93,10100000.0,D
Fe II,1180.996,700000.0,
Fe II,1181.114,20000000.0,
Fe II,1181.359,40000000.0,D
Fe II,1181.572,20000000.0,
Fe II,1181.894,60000000.0,
Fe II,1181.996,10600000.0,
Fe II,1182.243,20000000.0,
Fe II,1182.584,70000000.0,
Fe II,1182.584,70000000.0,
Fe II,1183.033,40000000.0,
Fe III,1183.321,801000.0,
Fe II,1183.439,50000000.0,
Fe II,1183.439,50000000.0,D
Fe II,1183.601,60000000.0,E
Fe II,1183.601,60000000.0,E
Fe II,1183.688,60000000.0,D
Fe II,1183.825,70000000.0,D+
Fe II,1183.889,40000000.0,D
Fe II,1183.889,40000000.0,
Fe II,1184.387,50000000.0,
Fe II,1184.387,50000000.0,
Fe II,1184.387,50000000.0,D
Fe II,1184.428,10200000.0,
Fe II,1184.506,20700000.0,E
Fe V,1184.556,2000.0,E
Fe II,1184.63,10800000.0,
Fe V,1184.66,301000.0,D
Fe II,1184.821,70000000.0,E
Fe III,1185.33,801000.0,
Fe III,1185.33,801000.0,
Fe II,1185.41,10100000.0,D
Fe II,1185.41,10100000.0,
Fe II,1185.71,70000000.0,D
Fe II,1185.857,50000000.0,D
Fe II,1186.015,60000000.0,
Fe II,1186.879,50000000.0,
Fe II,1187.099,700000.0,
Fe II,1187.276,40000000.0,
Fe II,1187.276,40000000.0,
Fe II,1187.414,60000000.0,D+
Fe II,1187.498,50000000.0,D
Fe II,1187.541,60000000.0,E
Fe II,1187.541,60000000.0,
Fe II,1188.195,10200000.0,
Fe III,1188.532,10100000.0,
Fe II,1188.673,10400000.0,
Fe II,1188.817,40000000.0,
Fe II,1188.966,20100000.0,D
Fe II,1188.992,20600000.0,
Fe III,1189.282,800000.0,
Fe II,1189.369,10500000.0,
Fe II,1189.722,20100000.0,
Fe II,1189.722,20100000.0,E
Fe II,1189.832,10800000.0,
Fe II,1190.27,700000.0,
