NIST peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1167.3215,1169.0159759475637,2.882653122147714,1167,?,0.0
1197.495,1196.5974560611614,0.42557702049150387,1197,?,0.0
1214.258,1215.358575667815,3.6353704304924572,1214,?,0.0
1256.1658,1254.7656883052052,3.934538527377074,1256,?,0.0
1413.7384,1415.413217221115,2.3828227109469897,1414,?,0.0
1547.843,1547.1684384037783,0.4078058040196303,1548,?,0.0
1561.2534,1559.5556595297214,1.499244585854184,1561,?,0.0
1596.4558,1597.088887125798,0.4186294483285777,1596,?,0.0
1638.3635,1638.021138587064,3.22088968133469,1638,?,0.0
1660.1554,1661.322865414119,2.9707866063806265,1660,?,0.0
