NIST peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1195.8817,1194.4892809479647,1.7880172262817557,1196,?,0.0
1214.3221,1215.659587517095,3.563565488224807,1214,?,0.0
1303.171,1304.022503166014,3.5313476340090304,1303,?,0.0
1519.4259,1520.8204445464164,1.991061947596424,1519,?,0.0
1532.8369,1535.4378572347453,0.4516959653589346,1533,?,0.0
1640.1262,1640.2445490584762,1.974081423729618,1640,?,0.0
1663.5958,1663.2924239412623,1.8906927867935543,1664,?,0.0
1747.4155,1747.9710138075714,3.6407589359562875,1747,?,0.0
1816.1477,1817.8137727297335,2.347718330765823,1816,?,0.0
1889.909,1890.9568067897558,2.9493025403044575,1890,?,0.0
