NIST peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1169.0524,1166.667222883805,0.4517095718731838,1169,?,0.0
1187.4927,1186.6336179562907,0.4461925345930537,1187,?,0.0
1214.3148,1215.0547639324898,3.8585031346861336,1214,?,0.0
1284.7229,1285.324181971543,3.832256271473302,1285,?,0.0
1306.5159,1305.140308061146,1.04414031620431,1307,?,0.0
1336.6907,1338.4069484119243,1.3519369431181476,1337,?,0.0
1472.4778,1470.6032477722117,1.3976280596090551,1472,?,0.0
1551.268,1550.4643024213005,0.4456632946235803,1551,?,0.0
1596.5303,1596.6599369407454,3.463331435356416,1597,?,0.0
1665.262,1667.3416963802244,2.003480982438793,1665,?,0.0
