Spectrum,Observed,Rel.,Acc.
N III,1907.99,200000.0,C+
N III,1919.55,105000.0,C+
N III,1919.77,105000.0,C+
N III,1920.65,300000.0,C+
N III,1920.84,105000.0,C+
O III,1920.04,106000.0,B
O III,1920.75,101000.0,
Na III,1897.35,70.0,
Na II,1899.523,3000.0,
Na II,1899.523,3000.0,
Na III,1899.718,90.0,
Na III,1900.164,1050.0,
Na II,1903.831,1050.0,
Na III,1905.674,30.0,
Na II,1906.112,1050.0,
Na III,1907.01,1000.0,B
Na III,1907.12,90.0,B
Na III,1907.12,90.0,
Na III,1908.15,30.0,
Na III,1909.806,80.0,
Na III,1910.66,60.0,
Na III,1913.19,90.0,B+
Na III,1914.91,0.0,C+
Na III,1915.436,80.0,
Na III,1916.0,30.0,
Na III,1917.344,90.0,B+
Na III,1918.453,1000.0,B+
Na III,1918.453,1000.0,
Na III,1919.93,40.0,
Mg III,1900.043,50.0,
Mg III,1901.36,20.0,
Mg III,1901.572,50.0,C+
Mg III,1901.572,50.0,B
Mg IV,1906.723,1080.0,B+
Mg III,1908.5,1000.0,B+
Mg III,1918.777,50.0,B+
Si I,1901.33,10000000.0,C
Si II,1902.46,100000.0,
Si I,1904.66,5000.0,D
Si II,1910.62,5000.0,
S I,1900.2863,2000000000.0,D+
S II,1901.871,30.0,
S II,1901.871,30.0,
S IV,1908.942,20.0,D+
S V,1914.08,30.0,
S I,1914.6982,1000000000.0,D
Cl III,1901.61,500000.0,E
Ca III,1907.385,10000000.0,C
Ca III,1910.097,10700000.0,B
Ca III,1911.692,10000000.0,C
Fe III,1897.38,2090000000.0,D
Fe II,1897.481,10800000.0,
Fe III,1898.043,10100000.0,
Fe II,1898.537,1010000000.0,D+
Fe III,1898.881,3090000000.0,D+
Fe II,1898.958,400000.0,
Fe II,1899.121,10900000.0,
Fe I,1899.2088,1080.0,
Fe II,1899.248,800000.0,
Fe III,1899.332,2090000000.0,
Fe III,1899.332,2090000000.0,C+
Fe III,1899.332,2090000000.0,D+
Fe III,1899.94,4000000000.0,B
Fe III,1900.574,2090000000.0,D
Fe III,1900.574,2090000000.0,D
Fe III,1901.102,302000000000.0,B
Fe III,1901.259,30600000.0,
Fe III,1901.389,4000000000.0,D+
Fe III,1901.389,4000000000.0,D+
Fe II,1901.5035,30200000.0,
Fe III,1901.551,2090000000.0,
Fe II,1901.7606,4000000000.0,
Fe II,1901.813,20100000.0,
Fe II,1901.8499,10400000.0,
Fe II,1902.03,30000000.0,
Fe III,1902.09,9080000000.0,C
Fe III,1902.412,7030000000.0,C
Fe III,1902.911,5040000000.0,C
Fe II,1903.019,205000.0,D
Fe III,1903.174,2020000000.0,D
Fe III,1903.269,3000000000.0,
Fe II,1903.284,30000000.0,D+
Fe III,1903.39,30600000.0,
Fe I,1903.3948,4020.0,
Fe III,1903.716,2020000000.0,
Fe III,1903.791,20700000.0,
Fe III,1903.989,2020000000.0,D+
Fe III,1904.263,3000000000.0,C+
Fe III,1904.412,5040000000.0,D+
Fe III,1904.412,5040000000.0,D+
Fe II,1904.79,1080000000.0,D+
Fe III,1904.794,4000000000.0,C+
Fe III,1905.217,2020000000.0,D+
Fe II,1905.273,400000.0,
Fe II,1905.60381,70000000.0,
Fe II,1905.7409,10100000.0,D+
Fe III,1905.827,3000000000.0,D+
Fe III,1905.951,90000000.0,
Fe III,1906.462,103000000000.0,C+
Fe III,1906.82,108000000000.0,D+
Fe III,1906.82,108000000000.0,C
Fe III,1907.097,1060000000.0,D
Fe II,1907.1107,900000.0,
Fe III,1907.417,20000000.0,
Fe III,1907.58,204000000000.0,B
Fe II,1907.591,20100000.0,
Fe II,1907.7426,700000.0,D
Fe III,1907.764,4000000000.0,D+
Fe III,1907.834,1060000000.0,
Fe III,1908.327,1020000000.0,D
Fe II,1908.681,400000.0,
Fe III,1909.06,1020000000.0,C+
Fe III,1909.448,1020000000.0,D
Fe III,1909.773,2020000000.0,D+
Fe II,1909.793,304000.0,
Fe III,1909.864,3000000000.0,C+
Fe II,1909.923,305000.0,
Fe III,1910.17,1060000000.0,D+
Fe III,1910.407,4010000000.0,D+
Fe II,1910.6731,80000000.0,D+
Fe II,1910.78,400000.0,
Fe III,1911.353,5050000000.0,C
Fe III,1911.456,60700000.0,
Fe II,1911.564,0.0,E
Fe II,1911.649,205000.0,E
Fe III,1911.691,3000000000.0,D
Fe III,1911.756,2020000000.0,D+
Fe III,1911.842,10100000.0,
Fe II,1911.997,500000.0,D
Fe II,1912.563,10500000.0,D
Fe II,1912.633,206000.0,
Fe III,1912.925,4010000000.0,D+
