Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1380.328,1380.328,0.0,1380,?,0.0
1403.7987,1403.7987,0.0,1404,?,0.0
1479.2406,1479.2406,0.0,1479,?,0.0
1506.0642,1506.0642,0.0,1506,?,0.0
1522.8291,1522.8291,0.0,1523,?,0.0
1553.0059,1553.0059,0.0,1553,?,0.0
1574.8,1574.8,0.0,1575,?,0.0
1633.477,1633.477,0.0,1633,?,0.0
1775.9781,1775.9781,0.0,1776,?,0.0
1881.5966,1881.5966,0.0,1882,?,0.0
1913.4497,1913.4497,0.0,1913,?,0.0
1931.8911,1931.8911,0.0,1932,?,0.0
0.0,1970.5198,0.0,1971,?,False
0.0,1800.1798,0.0,1800,?,False
0.0,1818.1798,0.0,1818,?,False
0.0,1841.7298,0.0,1842,?,False
0.0,1459.4897999999998,0.0,1459,?,False
0.0,1606.2897999999998,0.0,1606,?,False
0.0,1668.6097999999997,0.0,1669,?,False
0.0,1682.4597999999999,0.0,1682,?,False
0.0,1708.7698,0.0,1709,?,False
0.0,1722.6198,0.0,1723,?,False
0.0,1736.4697999999999,0.0,1736,?,False
0.0,1753.3698,0.0,1753,?,False
0.0,1426.9298,0.0,1427,?,False
