NIST peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1215.8912,1216.3287886507176,3.1295617916295893,1216,?,0.0
1304.7346,1306.1210282577183,3.1918620430366746,1305,?,0.0
1396.9305,1395.0725070796366,1.7742290058466643,1397,?,0.0
1547.7964,1549.05970380962,3.2394301204871563,1548,?,0.0
1639.9923,1642.0903195282565,1.5559649262060058,1640,?,0.0
1660.1079,1659.1603477317158,2.4560037652436457,1660,?,0.0
1681.8995,1684.3646470645765,3.0221585942273443,1682,?,0.0
1817.679,1818.4866244176326,2.273599584160695,1818,?,0.0
1924.9614,1925.0125994715593,3.302202873135449,1925,?,0.0
