Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1214.2094,1214.2094,0.0,1214,?,0.0
1546.1129,1550.2607,0.0,1550,?,0.0
1815.9941,1815.9941,0.0,1816,?,0.0
1871.3114,1871.3114,0.0,1871,?,0.0
