NIST peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1184.0266,1183.1477697502223,0.4882600782343233,1184,?,0.0
1200.7888,1198.2944945168033,0.42762138020940904,1201,?,0.0
1214.1986,1214.5103675646837,3.963357713966928,1214,?,0.0
1237.6656,1236.1374421138942,3.875662318647068,1238,?,0.0
1257.7804,1257.5664865207584,0.8089531581329878,1258,?,0.0
1287.9524,1289.0633276495016,3.309443760110286,1288,?,0.0
1358.3538,1355.9012270324697,0.4200829493675075,1358,?,0.0
1370.0873,1371.658542953779,1.9278294833205922,1370,?,0.0
1443.8412,1443.1474250986464,0.4255125471514082,1444,?,0.0
1475.6896,1473.1896687017722,0.4208771613052974,1476,?,0.0
1495.8041,1494.2866928341973,1.576208104979122,1496,?,0.0
1561.1769,1560.9987019761013,2.205635178378402,1561,?,0.0
1643.3119,1642.967294675976,3.033723622224281,1643,?,0.0
1941.6796,1943.6434032398306,3.264873320118321,1942,?,0.0
