Spectrum,Observed,Rel.,Acc.
C I,1310.15,205000000000.0,E
C I,1310.636,10700000000000.0,E
C I,1311.362,30800000000000.0,B
C I,1311.925,10000000000000.0,
C I,1312.246,606000000000.0,E
C I,1312.856,107000000000.0,
C I,1313.39,600000000000.0,
C I,1313.462,20000000000000.0,E
C I,1313.633,7050000000.0,
C I,1315.918,10200000000000.0,
N I,1310.54,209000.0,B
N I,1310.95,205000.0,B
O I,1302.168,900000.0,A
O I,1304.858,600000.0,A
O I,1306.029,300000.0,A
O II,1315.338,80.0,
O II,1315.518,80.0,
O II,1316.15,50.0,
O II,1317.162,1000.0,
Na II,1294.696,1050.0,
Na II,1295.164,3000.0,
Na II,1297.856,1020.0,
Na II,1298.142,1050.0,
Na II,1299.018,3000.0,
Na II,1299.895,6000.0,
Na II,1303.957,1050.0,
Na II,1304.546,1050.0,
Na II,1306.618,2000.0,
Na II,1307.936,1000.0,
Na II,1310.078,4050.0,
Na II,1311.158,1000.0,
Na II,1312.026,3000.0,
Na II,1312.587,2000.0,
Na II,1316.53,1020.0,
Mg I,1299.75,0.0,
Mg III,1306.59,0.0,
Mg II,1306.711,1010.0,C+
Mg II,1307.877,1020.0,C+
Mg IV,1307.9,0.0,B
Mg II,1308.282,1020.0,C+
Mg III,1308.654,10.0,
Mg II,1309.439,1040.0,C+
Mg III,1310.271,10.0,
Mg III,1310.633,30.0,
Mg III,1310.72,10.0,
Mg IV,1311.65,1020.0,B+
Mg IV,1311.93,70.0,C
Mg III,1314.5,0.0,
Mg III,1318.078,40.0,
Si III,1294.54,1070.0,B+
Si III,1296.73,1040.0,B+
Si III,1298.89,1050.0,B+
Si III,1298.96,1080.0,A
Si III,1301.15,1040.0,B+
Si III,1303.32,1060.0,B+
Si II,1304.37,100000.0,C+
Si II,1305.59,5000.0,
Si II,1309.27,200000.0,C+
Si II,1309.46,2000.0,
Si III,1312.59,1030.0,D+
S IV,1294.592,70.0,D+
S IV,1294.592,70.0,D+
S I,1295.6526,10600000.0,C+
S IV,1295.837,40.0,D+
S I,1296.1738,800000.0,C
S IV,1296.491,50.0,B
S IV,1296.659,80.0,B
S IV,1300.718,70.0,D+
S I,1300.9066,8000.0,
S I,1302.337,10500000.0,C
S I,1302.8633,10000000.0,C
S I,1303.1105,10000000.0,C
S I,1303.4295,10100000.0,D+
S IV,1304.177,40.0,D
S I,1305.8834,10300000.0,C
S I,1308.2,0.0,
S I,1308.2,0.0,
S I,1308.2,0.0,
S I,1309.3,0.0,
S I,1310.194,10400000.0,D+
S I,1313.2493,600000.0,D+
S I,1316.5423,30000000.0,C
S I,1316.6183,10800000.0,C
S I,1316.6183,10800000.0,D
Ca III,1298.035,20100000.0,C
Ca III,1309.418,103000.0,
Ca III,1310.669,10000000.0,C
Ca III,1317.699,10700000.0,C
Fe II,1294.258,20100000.0,
Fe III,1294.641,50000000.0,D
Fe II,1294.905,60000000.0,
Fe II,1294.905,60000000.0,D
Fe II,1295.434,60000000.0,
Fe II,1295.636,20700000.0,
Fe II,1295.747,20100000.0,
Fe II,1295.747,20100000.0,
Fe II,1295.903,20600000.0,
Fe II,1295.903,20600000.0,
Fe II,1296.08,70000000.0,D+
Fe II,1296.288,60000000.0,D
Fe II,1297.509,50000000.0,E
Fe V,1297.547,10500000.0,C
Fe II,1297.93,60000000.0,D+
Fe II,1298.114,60000000.0,D+
Fe II,1298.633,20100000.0,
Fe II,1298.802,60000000.0,
Fe II,1299.283,10000000.0,D
Fe II,1299.304,20200000.0,
Fe II,1299.427,1080000000.0,D+
Fe II,1299.814,30500000.0,
Fe II,1299.814,30500000.0,
Fe II,1299.995,10000000.0,D
Fe III,1300.028,20000000.0,
Fe II,1300.365,10000000.0,
Fe III,1300.524,10100000.0,
Fe II,1300.541,600000.0,
Fe V,1300.608,508000.0,C
Fe II,1300.643,10900000.0,D
Fe V,1300.846,507000.0,C
Fe II,1301.198,50000000.0,D
Fe II,1301.56,800000.0,D
Fe II,1301.61,20100000.0,
Fe III,1301.639,600000.0,
Fe II,1301.763,800000.0,
Fe II,1301.827,50000000.0,
Fe III,1301.85,60600000.0,D
Fe III,1302.058,20700000.0,
Fe III,1302.124,10100000.0,
Fe III,1302.449,80900000.0,
Fe III,1302.449,80900000.0,
Fe III,1302.489,20000000.0,
Fe III,1302.861,2020000000.0,
Fe II,1303.033,50000000.0,E
Fe V,1303.081,6070.0,D+
Fe III,1303.183,801000.0,
Fe II,1303.2,10400000.0,D
Fe II,1303.356,60000000.0,D+
Fe V,1303.489,909000.0,C
Fe II,1303.898,60000000.0,D+
Fe III,1304.143,600000.0,
Fe III,1304.413,20000000.0,
Fe III,1304.413,20000000.0,
Fe II,1304.436,60000000.0,D+
Fe V,1304.816,705000.0,C
Fe II,1305.372,400000.0,
Fe II,1305.52,10400000.0,D
Fe II,1305.785,900000.0,
Fe III,1305.85,801000.0,
Fe V,1305.971,504000.0,C
Fe II,1306.02,60000000.0,
Fe V,1306.08,801000.0,C
Fe II,1306.74,50000000.0,D+
Fe II,1306.83,50000000.0,
Fe II,1307.217,30100000.0,
Fe V,1307.219,307000.0,C
Fe II,1307.261,50000000.0,D
Fe V,1307.424,10000000.0,C
Fe II,1307.452,20700000.0,
Fe II,1307.616,600000.0,
Fe II,1307.616,600000.0,
Fe II,1308.223,20100000.0,
Fe II,1308.545,30500000.0,
Fe II,1308.841,600000.0,
Fe II,1308.965,10100000.0,D
Fe II,1309.111,40000000.0,
Fe II,1309.275,10300000.0,
Fe V,1309.521,309000.0,C
Fe II,1309.55,50000000.0,E
Fe III,1309.834,30600000.0,
Fe II,1309.907,20100000.0,
Fe II,1309.929,800000.0,
Fe II,1310.152,10300000.0,
Fe II,1310.274,20900000.0,
Fe II,1310.274,20900000.0,
Fe II,1310.588,20200000.0,E
Fe V,1310.751,1010.0,E
Fe II,1311.057,50000000.0,E
Fe II,1311.173,800000.0,
Fe V,1311.239,800000.0,C
Fe III,1311.373,800000.0,
Fe II,1311.612,40000000.0,E
Fe II,1311.765,20000000.0,
Fe V,1311.828,706000.0,C
Fe II,1312.497,20800000.0,D
Fe II,1312.527,30500000.0,
Fe III,1312.924,509000.0,
Fe III,1313.093,509000.0,
Fe II,1313.183,10200000.0,
Fe II,1313.183,10200000.0,
Fe II,1313.343,20300000.0,
Fe II,1313.376,700000.0,
Fe V,1313.585,403000.0,C
Fe II,1314.226,20100000.0,
Fe V,1314.529,10100000.0,D
Fe III,1314.608,10400000.0,
Fe II,1314.962,20600000.0,
Fe III,1315.129,10100000.0,
Fe II,1315.192,400000.0,
Fe III,1315.414,709000.0,
Fe III,1315.56,10100000.0,
Fe III,1315.693,10400000.0,
Fe II,1315.849,20200000.0,
Fe III,1316.162,60500000.0,D
Fe III,1316.222,10400000.0,
Fe III,1316.222,10400000.0,
Fe II,1316.497,40000000.0,D+
Fe II,1317.028,40000000.0,D+
Fe III,1317.165,509000.0,
Fe II,1317.249,50000000.0,
Fe II,1317.249,50000000.0,
Fe II,1317.542,30600000.0,
Fe II,1317.542,30600000.0,D+
Fe V,1317.862,10500000.0,C
Fe II,1318.067,30500000.0,D
