NIST peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1214.3942,1215.259205692263,2.983069676050713,1214,?,0.0
1304.9248,1305.4732571010693,2.956939203385026,1305,?,0.0
1382.0435,1381.6538637941328,2.177168481651554,1382,?,0.0
1474.2506,1475.014676999478,2.151622896261007,1474,?,0.0
1549.6929,1550.1692068718078,1.9336337968800112,1550,?,0.0
1640.2235,1641.7906657023232,2.1919269727045996,1640,?,0.0
1658.6649,1659.3621132606977,2.951840071994586,1659,?,0.0
1816.2554,1817.9988341661567,2.703426712099417,1816,?,0.0
