Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1380.2646,1380.2646,0.0,1380,?,0.0
1405.4108,1405.4108,0.0,1405,?,0.0
1479.1726,1479.1726,0.0,1479,?,0.0
1495.9366,1495.9366,0.0,1496,?,0.0
1507.6715,1507.6715,0.0,1508,?,0.0
1524.4357,1524.4357,0.0,1524,?,0.0
1554.611,1554.611,0.0,1555,?,0.0
1574.7278,1574.7278,0.0,1575,?,0.0
1633.4021,1633.4021,0.0,1633,?,0.0
1668.6066,1668.6066,0.0,1669,?,0.0
1682.0178,1682.0178,0.0,1682,?,0.0
1775.8966,1775.8966,0.0,1776,?,0.0
1883.1866,1883.1866,0.0,1883,?,0.0
1913.3619,1913.3619,0.0,1913,?,0.0
1933.4789,1933.4789,0.0,1933,?,0.0
0.0,1971.8269,0.0,1972,?,False
0.0,1603.9069,0.0,1604,?,False
0.0,1620.5069,0.0,1621,?,False
0.0,1710.4069,0.0,1710,?,False
0.0,1724.2368999999999,0.0,1724,?,False
0.0,1737.5668999999998,0.0,1738,?,False
0.0,1754.6669000000002,0.0,1755,?,False
0.0,1821.0569,0.0,1821,?,False
0.0,1845.9569000000001,0.0,1846,?,False
0.0,1428.2469,0.0,1428,?,False
0.0,1460.0569,0.0,1460,?,False
