Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1403.7952,1403.7952,0.0,1404,?,0.0
1479.235,1479.235,0.0,1479,?,0.0
1495.9994,1495.9994,0.0,1496,?,0.0
1507.7345,1507.7345,0.0,1508,?,0.0
1524.499,1524.499,0.0,1524,?,0.0
1552.9984,1552.9984,0.0,1553,?,0.0
1574.7921,1574.7921,0.0,1575,?,0.0
1633.4677,1633.4677,0.0,1633,?,0.0
1670.3494,1670.3494,0.0,1670,?,0.0
1685.4375,1685.4375,0.0,1685,?,0.0
1775.9655,1775.9655,0.0,1776,?,0.0
1883.2577,1883.2577,0.0,1883,?,0.0
1913.4336,1913.4336,0.0,1913,?,0.0
1933.5509,1933.5509,0.0,1934,?,0.0
0.0,1379.8922,0.0,1380,?,False
0.0,1435.2222,0.0,1435,?,False
0.0,1821.1322,0.0,1821,?,False
0.0,1843.2622000000001,0.0,1843,?,False
0.0,1971.9022,0.0,1972,?,False
0.0,1724.3122,0.0,1724,?,False
0.0,1736.7522,0.0,1737,?,False
0.0,1754.7422000000001,0.0,1755,?,False
0.0,1801.7622000000001,0.0,1802,?,False
