NIST peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1358.3873,1355.739043373586,0.47811525767498364,1358,?,0.0
1443.8788,1444.9371078362503,0.4203579894062465,1444,?,0.0
1463.9944,1464.9474585816777,2.3049892233604257,1464,?,0.0
1504.2257,1505.819733474957,2.79003863253136,1504,?,0.0
1549.4858,1551.2493230400337,3.288334596128413,1549,?,0.0
1581.3356,1580.2021074238735,1.0638819488271514,1581,?,0.0
1640.0062,1641.7617351490628,1.0161199436706576,1640,?,0.0
1784.1682,1785.505490544276,2.7751624281240646,1784,?,0.0
1893.1279,1893.6347517279673,3.3874132371109495,1893,?,0.0
