Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1205.3353,1208.0919999999999,0.0,1208,?,0.0
1220.4153,1219.032,0.0,1219,?,0.0
1475.0994,1479.252,0.0,1479,?,0.0
