NIST peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1273.0605,1273.0555687326146,0.2005475632469524,1273,?,0.0
1299.8848,1302.3293801671293,0.46156973361630577,1300,?,0.0
1343.4744,1346.1316600418702,2.7893140739911293,1343,?,0.0
1485.9785,1485.4099380653847,3.1709391652265593,1486,?,0.0
1546.3333,1546.0856648515676,2.6526031839389708,1546,?,0.0
1574.834,1576.573614818823,3.9826201014251437,1575,?,0.0
1596.6288,1599.3968737765447,0.807314081008541,1597,?,0.0
1643.5714,1641.9114128485846,1.3818966411544424,1644,?,0.0
1668.7191,1666.9209552781724,1.3132196322756704,1669,?,0.0
1817.9294,1818.8404005079385,1.4801474112769608,1818,?,0.0
1843.0773,1842.5873811557176,2.1556805183161627,1843,?,0.0
