Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1215.9574,1215.9574,0.0,1216,?,0.0
1393.6492,1393.6492,0.0,1394,?,0.0
1428.8523,1431.6202,0.0,1432,?,0.0
1681.9792,1680.6002,0.0,1681,?,0.0
1688.6846,1691.4502000000002,0.0,1691,?,0.0
1790.9412,1789.5602000000001,0.0,1790,?,0.0
0.0,1246.1302,0.0,1246,?,False
