Spectrum,Observed,Rel.,Acc.
C III,1174.93,307000.0,A+
C III,1175.26,305000.0,A+
C III,1175.59,303000.0,A+
C III,1175.71,500000.0,A+
C III,1175.99,305000.0,A+
Na II,1172.698,5000.0,
Na II,1172.969,4000.0,
Si III,1174.37,50.0,C
Si III,1174.43,60.0,C
S I,1172.51,6000.0,
S II,1172.877,10.0,
S I,1175.1,0.0,
S I,1176.0,0.0,
Fe III,1171.636,50100000.0,
Fe VII,1171.658,107000.0,E
Fe II,1171.773,10900000.0,
Fe II,1171.773,10900000.0,
Fe II,1171.958,20100000.0,
Fe II,1171.958,20100000.0,
Fe II,1172.052,20000000.0,
Fe II,1172.262,20100000.0,D
Fe II,1172.322,10900000.0,D
Fe III,1172.422,30800000.0,
Fe III,1172.62,50100000.0,
Fe III,1172.894,50100000.0,
Fe II,1172.983,10700000.0,
Fe V,1173.099,2000.0,
Fe II,1173.151,40000000.0,D
Fe II,1173.405,70000000.0,
Fe II,1173.631,20100000.0,E
Fe VII,1173.777,205000.0,D
Fe II,1173.827,50000000.0,D
Fe V,1173.903,1000.0,D
Fe II,1173.92,10800000.0,D
Fe VII,1173.921,202000.0,D+
Fe VII,1174.051,308000.0,B
Fe II,1174.074,30500000.0,
Fe II,1174.25,20900000.0,
Fe II,1174.25,20900000.0,
Fe II,1174.301,40000000.0,
Fe II,1174.551,60000000.0,
Fe III,1174.819,20800000.0,
Fe II,1175.143,60000000.0,D+
Fe II,1175.249,10400000.0,
Fe II,1175.411,10300000.0,D
Fe II,1175.527,70000000.0,
Fe II,1175.677,70000000.0,D+
Fe II,1175.83,60000000.0,
Fe III,1175.919,90200000.0,D
Fe II,1175.958,40000000.0,D
Fe II,1176.06,50000000.0,E
