Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1405.4192,1405.4192,0.0,1405,?,0.0
1479.18,1479.18,0.0,1479,?,0.0
1506.0021,1506.0021,0.0,1506,?,0.0
1524.4423,1524.4423,0.0,1524,?,0.0
1554.6171,1554.6171,0.0,1555,?,0.0
1574.7336,1574.7336,0.0,1575,?,0.0
1633.407,1633.407,0.0,1633,?,0.0
1683.6984,1683.6984,0.0,1684,?,0.0
1775.8993,1775.8993,0.0,1776,?,0.0
1883.1876,1883.1876,0.0,1883,?,0.0
1913.3624,1913.3624,0.0,1913,?,0.0
1931.8027,1931.8027,0.0,1932,?,0.0
0.0,1381.8794,0.0,1382,?,False
0.0,1433.1194,0.0,1433,?,False
0.0,1460.8094,0.0,1461,?,False
0.0,1496.8194,0.0,1497,?,False
0.0,1656.5594,0.0,1657,?,False
0.0,1668.9994,0.0,1669,?,False
0.0,1709.0994,0.0,1709,?,False
0.0,1724.3194,0.0,1724,?,False
0.0,1736.7594,0.0,1737,?,False
0.0,1753.3494,0.0,1753,?,False
0.0,1801.7494000000002,0.0,1802,?,False
0.0,1821.1094,0.0,1821,?,False
0.0,1845.9594000000002,0.0,1846,?,False
0.0,1598.3794,0.0,1598,?,False
0.0,1621.8894,0.0,1622,?,False
