NIST peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1153.9374,1156.5588088099419,2.060322943313129,1154,?,0.0
1172.3772,1173.8062848344632,1.6373440513627087,1172,?,0.0
1195.846,1194.9744925482353,0.4537701254344131,1196,?,0.0
1214.2858,1215.5113996440696,1.881437071954633,1214,?,0.0
1304.8082,1305.311918095359,2.9860809377658395,1305,?,0.0
1470.766,1472.8000881356052,2.991425259394312,1471,?,0.0
1505.9692,1505.8791808829742,3.7206725585645386,1506,?,0.0
1641.753,1641.7202213409446,3.274835186001459,1642,?,0.0
1658.5165,1659.505180350799,3.334301838975962,1659,?,0.0
1817.7689,1818.4835714724607,2.477383795249388,1818,?,0.0
1896.5569,1898.685922802412,3.973664815379777,1897,?,0.0
