Spectrum,Observed,Rel.,Acc.
C I,1249.404,603000000000.0,E
C I,1250.423,508000000000.0,E
C I,1251.176,10000000000000.0,E
C I,1252.209,302000000000.0,E
C I,1253.467,10100000000000.0,E
C I,1254.51,308000000000.0,E
C I,1256.493,10200000000000.0,E
C I,1257.565,407000000000.0,E
C I,1260.612,10300000000000.0,E
C I,1260.736,2030000000000000.0,B
C I,1260.927,2010000000000000.0,B
C I,1260.996,1080000000000000.0,B
C I,1261.121,2030000000000000.0,B
C I,1261.423,1020000000000000.0,B
C I,1261.551,2020000000000000.0,B
C I,1261.72,705000000000.0,E
O II,1256.074,60.0,
O II,1257.345,1000.0,
O II,1258.156,60.0,
O II,1259.931,1000.0,
O II,1261.016,1000.0,
Na II,1254.813,3000.0,
Na II,1255.354,2050.0,
Mg II,1249.932,80.0,B
Si II,1250.09,100000.0,
Si II,1250.43,105000.0,
Si II,1251.16,200000.0,C+
Si I,1255.28,1000.0,
Si I,1256.49,4000.0,
Si I,1258.8,5000.0,
Si II,1260.42,10000000.0,B
S II,1250.578,1030.0,D
S I,1250.8138,5000.0,D
S IV,1251.653,80.0,C+
S I,1253.297,4000.0,D+
S I,1253.325,300000.0,D+
S II,1253.805,1050.0,D+
S I,1256.093,102000.0,D+
S IV,1258.173,80.0,B
S II,1259.518,1060.0,D+
S V,1260.763,30.0,E
S V,1261.381,40.0,D
S IV,1261.523,30.0,C+
Ca III,1253.464,309000.0,C
Ca III,1254.413,107000.0,C
Ca III,1259.209,202000.0,C
Ca III,1261.381,202000.0,C
Fe II,1249.44,20200000.0,
Fe V,1249.496,102000.0,D+
Fe II,1249.761,10700000.0,
Fe II,1249.794,40000000.0,D
Fe II,1249.794,40000000.0,
Fe II,1250.241,400000.0,
Fe II,1250.272,20200000.0,
Fe II,1250.33,400000.0,
Fe V,1250.736,804000.0,C
Fe II,1251.254,10300000.0,
Fe II,1251.413,30100000.0,
Fe II,1252.09,300000.0,
Fe III,1252.239,10200000.0,
Fe II,1252.599,30300000.0,
Fe II,1253.479,500000.0,
Fe II,1253.73,600000.0,
Fe II,1255.208,400000.0,
Fe II,1255.404,40000000.0,D+
Fe II,1255.404,40000000.0,
Fe II,1255.502,10900000.0,D
Fe II,1255.883,20800000.0,
Fe II,1256.251,30100000.0,
Fe VII,1256.253,207000.0,B
Fe II,1256.435,20200000.0,D
Fe II,1256.65,205000.0,
Fe II,1256.702,20200000.0,
Fe II,1256.758,10600000.0,
Fe II,1257.14,10500000.0,
Fe V,1257.531,7050.0,
Fe II,1257.609,900000.0,
Fe II,1258.415,20300000.0,
Fe III,1258.558,70200000.0,
Fe V,1258.564,1050.0,
Fe II,1258.723,10700000.0,
Fe II,1259.055,90000000.0,D+
Fe II,1259.178,80000000.0,D+
Fe II,1259.636,30500000.0,D
Fe III,1260.372,1080000000.0,
Fe II,1260.525,90000000.0,D+
Fe II,1260.83,80000000.0,D+
Fe II,1261.124,20700000.0,
