Wavelengths,Flux,Fluxerr
1150.5266,-0.12501712,1.5299745e-13
1152.2029,-0.12988581,1.430156e-13
1153.8792,-0.13492726,1.3972531e-13
1155.5554,-0.14014772,1.2615939e-13
1157.2317,-0.14555253,1.2061733e-13
1158.9078,-0.15114753,1.0629632e-13
1160.5842,-0.15693994,1.0352039e-13
1162.2604,-0.16293317,9.355806e-14
1163.9368,-0.16913687,8.687262e-14
1165.6129,-0.17555465,7.668453e-14
1167.2892,-0.1821952,6.996848e-14
1168.9656,-0.18906568,6.6377574e-14
1170.6417,-0.19617125,6.0863776e-14
1172.318,-0.20352103,5.5930043e-14
1173.9943,-0.21112171,5.2158815e-14
1175.6705,-0.21898055,6.0037695e-14
1177.3467,-0.22710575,4.9548124e-14
1179.0231,-0.23550671,4.2915212e-14
1180.6993,-0.24419077,3.9598265e-14
1182.3756,-0.25316715,3.993958e-14
1184.0519,-0.26244214,3.5206254e-14
1185.728,-0.27202702,3.3531724e-14
1187.4044,-0.28193122,3.2779186e-14
1189.0806,-0.292163,3.0281577e-14
1190.7568,-0.30273315,2.911953e-14
1192.4331,-0.31365052,3.0174654e-14
1194.1094,-0.32492822,4.5495905e-14
1195.7855,-0.3365719,1.2947774e-13
1197.4619,-0.34859815,8.336912e-14
1199.1382,-0.36101353,8.135009e-14
1200.8143,-0.3738301,3.704904e-14
1202.4907,-0.3870616,3.0741692e-14
1204.1669,-0.40071598,2.0088765e-14
1205.8433,-0.41481355,2.0377919e-14
1207.5194,-0.42935684,2.061895e-14
1209.1957,-0.44436443,4.4227514e-14
1210.8721,-0.45985037,7.623738e-14
1212.5482,-0.47582394,4.7527185e-14
1214.2245,-0.49230158,5.872371e-14
1215.9008,-0.5093002,7.717127e-14
1217.577,-0.5268273,8.542709e-14
1219.2532,-0.5449028,6.2114335e-14
1220.9296,-0.5635423,5.4201283e-14
1222.6057,-0.5827584,3.333354e-14
1224.2821,-0.6025739,1.6147631e-14
1225.9583,-0.6229916,1.3295566e-14
1227.6345,-0.64404386,1.2869626e-14
1229.3109,-0.66573834,2.063556e-14
1230.987,-0.6880938,1.2280882e-14
1232.6633,-0.7111324,1.23113156e-14
1234.3396,-0.7348665,1.2890881e-14
1236.0159,-0.75932294,1.1713495e-14
1237.692,-0.7845072,1.1210323e-14
1239.3684,-0.81046015,1.1938752e-14
1241.0447,-0.8371839,1.10334385e-14
1242.7208,-0.86470205,1.558816e-14
1244.3972,-0.8930462,1.1021057e-14
1246.0734,-0.92222327,1.1612853e-14
1247.7498,-0.9522709,1.0365714e-14
1249.4259,-0.98319805,1.0786925e-14
1251.1022,-1.0150357,9.910189e-15
1252.7786,-1.0478094,9.905085e-15
1254.4547,-1.0815307,1.0145209e-14
1256.131,-1.1162375,9.754703e-15
1257.8073,-1.1519563,9.856421e-15
1259.4835,-1.1886979,1.119341e-14
1261.1597,-1.2265005,9.221097e-15
1262.836,-1.2653967,9.2673485e-15
1264.5122,-1.3053998,1.0933267e-14
1266.1886,-1.3465506,9.213306e-15
1267.8647,-1.388863,8.719083e-15
1269.541,-1.4323854,8.706111e-15
1271.2174,-1.4771326,8.669385e-15
1272.8936,-1.5231435,8.59455e-15
1274.5698,-1.5704474,8.5228404e-15
1276.2461,-1.6190711,8.526387e-15
1277.9224,-1.6690594,8.76403e-15
1279.5985,-1.7204288,8.397161e-15
1281.2749,-1.7732433,8.426274e-15
1282.9512,-1.8275019,8.312097e-15
1284.6273,-1.883257,8.199589e-15
1286.3037,-1.9405574,9.5161306e-15
1287.9799,-1.9994143,7.995594e-15
1289.6562,-2.0598881,8.2733604e-15
1291.3324,-2.1220038,8.269655e-15
1293.0087,-2.1858053,8.166537e-15
1294.6849,-2.251335,7.832136e-15
1296.3612,-2.318635,1.02296194e-14
1298.0374,-2.3877404,8.2528775e-15
1299.7137,-2.4587164,8.280181e-15
1301.39,-2.5315611,7.7275205e-15
1303.0662,-2.6063569,7.911433e-15
1304.7426,-2.6831512,7.92966e-15
1306.4187,-2.7619617,8.736318e-15
1308.0951,-2.8428833,8.2484585e-15
1309.7712,-2.925902,7.88674e-15
1311.4475,-3.0111208,8.732737e-15
1313.1239,-3.0985572,1.1042659e-14
1314.8,-3.188281,1.0080799e-14
1316.4763,-3.2803338,8.156432e-15
1318.1526,-3.3747575,9.153014e-15
1319.8289,-3.4716542,8.312517e-15
1321.505,-3.5710092,1.03630746e-14
1323.1814,-3.6729555,1.1741701e-14
1324.8577,-3.7774963,7.687215e-15
1326.5338,-3.8846903,7.602362e-15
1328.2101,-3.9946284,7.806791e-15
1329.8864,-4.107336,7.949792e-15
1331.5627,-4.2229395,1.1878336e-14
1333.2389,-4.341421,1.0219529e-14
1334.9152,-4.462888,9.9984845e-15
1336.5914,-4.58741,7.630995e-15
1338.2677,-4.7150393,7.21658e-15
1339.9438,-4.845835,7.930609e-15
1341.6202,-4.979915,8.437371e-15
1343.2965,-5.1172767,8.5603115e-15
1344.9727,-5.2580395,7.350848e-15
1346.649,-5.402281,7.357799e-15
1348.3252,-5.5500484,8.54352e-15
1350.0016,-5.7014723,7.352771e-15
1351.6777,-5.8565307,1.3892154e-14
1353.354,-6.0153937,1.4410499e-14
1355.0304,-6.1780996,7.49268e-15
1356.7065,-6.3447547,7.435455e-15
1358.3827,-6.515407,8.981887e-15
1360.0591,-6.690161,1.14416355e-14
1361.7354,-6.869131,8.122044e-15
1363.4115,-7.052326,9.87832e-15
1365.0879,-7.2399473,7.444241e-15
1366.7642,-7.431993,8.1494725e-15
1368.4403,-7.628581,7.7358875e-15
1370.1166,-7.829803,7.462631e-15
1371.7928,-8.035773,8.307249e-15
1373.4692,-8.246607,8.535823e-15
1375.1454,-8.462333,1.2467093e-14
1376.8217,-8.68309,7.462394e-15
1378.4979,-8.909003,7.4758476e-15
1380.1742,-9.140163,9.357952e-15
1381.8503,-9.376632,1.5094158e-14
1383.5267,-9.618632,8.339835e-15
1385.203,-9.866108,1.1623942e-14
1386.8792,-10.119318,1.1883791e-14
1388.5555,-10.378264,8.340843e-15
1390.2317,-10.643109,7.959325e-15
1391.9081,-10.914034,7.8535014e-15
1393.5842,-11.191028,7.840301e-15
1395.2605,-11.474339,9.133534e-15
1396.9369,-11.764004,9.729079e-15
1398.613,-12.060168,8.1459175e-15
1400.2892,-12.362947,9.2951846e-15
1401.9656,-12.672516,1.5500806e-14
1403.6418,-12.988991,8.50576e-15
1405.318,-13.3123865,8.901512e-15
1406.9944,-13.643104,8.090153e-15
1408.6705,-13.981004,7.896192e-15
1410.3468,-14.326364,8.433644e-15
1412.0231,-14.679313,8.214241e-15
1413.6993,-15.039979,8.238846e-15
1415.3757,-15.408522,9.2410295e-15
1417.0519,-15.785072,1.3079541e-14
1418.7281,-16.169786,7.887982e-15
1420.4044,-16.562826,8.231233e-15
1422.0807,-16.964315,8.228854e-15
1423.7568,-17.37443,9.122874e-15
1425.4332,-17.793447,8.119554e-15
1427.1095,-18.221287,8.092156e-15
1428.7856,-18.658262,8.59575e-15
1430.4619,-19.104565,8.192557e-15
1432.1382,-19.560335,9.0714645e-15
1433.8146,-20.025812,8.7737045e-15
1435.4907,-20.500917,8.969221e-15
1437.167,-20.986185,1.1088167e-14
1438.8433,-21.481417,8.382068e-15
1440.5195,-21.987213,1.0720719e-14
1442.1957,-22.503407,8.2296925e-15
1443.8721,-23.030407,9.001653e-15
1445.5483,-23.568266,8.348157e-15
1447.2245,-24.117144,8.580384e-15
1448.9009,-24.677586,1.1173895e-14
1450.577,-25.249313,8.21559e-15
1452.2533,-25.832787,9.132754e-15
1453.9296,-26.428244,9.1351055e-15
1455.6058,-27.035795,8.235626e-15
1457.2822,-27.655712,8.1995745e-15
1458.9584,-28.288095,9.233984e-15
1460.6345,-28.933311,8.684692e-15
1462.3109,-29.591505,8.009203e-15
1463.9872,-30.262964,1.1475953e-14
1465.6633,-30.947752,8.551571e-15
1467.3397,-31.64642,8.796807e-15
1469.016,-32.358788,8.947736e-15
1470.6921,-33.085396,8.508103e-15
1472.3684,-33.82634,9.415805e-15
1474.0447,-34.58187,9.178026e-15
1475.7211,-35.352512,8.191259e-15
