Wavelengths,Flux,Fluxerr
1150.5802,-403.6653,1.7222187e-14
1152.2566,-408.92078,1.5023335e-14
1153.933,-414.22458,1.4959684e-14
1155.6093,-419.57697,1.5838312e-14
1157.2856,-424.97803,1.3804744e-14
1158.9619,-430.42722,1.27872e-14
1160.6383,-435.92722,1.1903102e-14
1162.3146,-441.4758,1.1530765e-14
1163.991,-447.07474,1.1082136e-14
1165.6672,-452.72333,1.05650055e-14
1167.3436,-458.42233,9.794884e-15
1169.02,-464.17096,9.281959e-15
1170.6963,-469.97012,8.582373e-15
1172.3727,-475.82074,8.3874126e-15
1174.049,-481.72168,7.744162e-15
1175.7253,-487.6736,6.829478e-15
1177.4016,-493.6773,6.7787145e-15
1179.078,-499.73224,6.3952355e-15
1180.7544,-505.83954,6.3973756e-15
1182.4307,-511.99615,6.2923443e-15
1184.107,-518.2073,5.8556777e-15
1185.7833,-524.47003,7.605447e-15
1187.4597,-530.785,5.639894e-15
1189.136,-537.152,6.5850044e-15
1190.8124,-543.57227,9.287153e-15
1192.4886,-550.04535,6.8305046e-15
1194.165,-556.57245,6.449153e-15
1195.8413,-563.1509,5.0070472e-15
1197.5177,-569.78485,4.7907836e-15
1199.1941,-576.4711,4.420327e-15
1200.8704,-583.21094,4.456026e-15
1202.5468,-590.00574,4.526476e-15
1204.223,-596.8542,4.7889536e-15
1205.8994,-603.75745,9.823914e-15
1207.5757,-610.71295,1.5199733e-14
1209.2521,-617.7257,6.522157e-14
1210.9285,-624.7925,-7.205417e-17
1212.6047,-631.91376,-7.020212e-17
1214.2811,-639.0899,-6.845179e-17
1215.9574,-646.3219,-6.702113e-17
1217.6338,-653.60895,-6.5469466e-17
1219.31,-660.9523,-6.40201e-17
1220.9865,-668.3494,1.0457937e-13
1222.6627,-675.804,7.721693e-14
1224.3391,-683.3141,5.228746e-15
1226.0154,-690.88043,3.4037341e-15
1227.6918,-698.5025,2.9753424e-15
1229.3682,-706.1812,3.011206e-15
1231.0444,-713.91693,3.3359963e-15
1232.7208,-721.7092,3.0037046e-15
1234.3971,-729.5573,3.0733453e-15
1236.0735,-737.4637,3.303604e-15
1237.7498,-745.42737,3.2375372e-15
1239.4261,-753.4459,3.1173752e-15
1241.1025,-761.5246,2.7404438e-15
1242.7788,-769.6591,2.6677332e-15
1244.4552,-777.85205,2.5823485e-15
1246.1315,-786.10114,2.773142e-15
1247.8079,-794.4093,2.5985292e-15
1249.4841,-802.77496,2.6531973e-15
1251.1605,-811.2,2.8170423e-15
1252.8369,-819.68054,2.4714425e-15
1254.5132,-828.22095,2.5614162e-15
1256.1896,-836.8202,2.4453684e-15
1257.8658,-845.47687,2.234674e-15
1259.5422,-854.19244,2.2839487e-15
1261.2185,-862.96564,2.226044e-15
1262.8949,-871.8006,2.2780227e-15
1264.5712,-880.69226,2.0264355e-15
1266.2476,-889.64264,2.0798108e-15
1267.9238,-898.65234,2.0687679e-15
1269.6002,-907.7223,2.2828607e-15
1271.2766,-916.85114,2.3441834e-15
1272.9529,-926.03876,2.822795e-15
1274.6293,-935.28644,2.7612143e-15
1276.3055,-944.594,2.643822e-15
1277.9819,-953.9588,2.7833638e-15
1279.6582,-963.38446,2.5941443e-15
1281.3346,-972.8719,2.427732e-15
1283.011,-982.4177,2.403634e-15
1284.6873,-992.0232,2.4547608e-15
1286.3636,-1001.6884,2.5796998e-15
1288.0399,-1011.41516,2.5440361e-15
1289.7163,-1021.20105,2.4831844e-15
1291.3926,-1031.0465,2.5517928e-15
1293.069,-1040.9531,2.5282455e-15
1294.7452,-1050.9207,2.447484e-15
1296.4216,-1060.9468,2.6859048e-15
1298.0979,-1071.0348,2.5373782e-15
1299.7743,-1081.1829,2.6289055e-15
1301.4507,-1091.3918,2.3539867e-15
1303.127,-1101.6613,2.4193696e-15
1304.8033,-1111.9899,2.4602695e-15
1306.4796,-1122.3817,2.5293346e-15
1308.156,-1132.834,2.330977e-15
1309.8323,-1143.3463,2.3011801e-15
1311.5087,-1153.9182,2.514307e-15
1313.185,-1164.5535,2.3358897e-15
1314.8613,-1175.2483,2.2479513e-15
1316.5377,-1186.006,2.2744887e-15
1318.214,-1196.8208,2.4676094e-15
1319.8904,-1207.7002,2.4069964e-15
1321.5667,-1218.6399,2.6517806e-15
1323.243,-1229.6407,2.6313256e-15
1324.9194,-1240.7015,2.6788573e-15
1326.5957,-1251.8229,3.2296263e-15
1328.272,-1263.0078,2.5078875e-15
1329.9484,-1274.2511,2.5434544e-15
1331.6248,-1285.5586,2.5821636e-15
1333.301,-1296.9261,2.5096083e-15
1334.9774,-1308.3566,2.5370094e-15
1336.6537,-1319.844,2.87975e-15
1338.3301,-1331.397,2.4936949e-15
1340.0063,-1343.0096,2.5695308e-15
1341.6827,-1354.6853,3.3677945e-15
1343.3591,-1366.419,2.4930683e-15
1345.0354,-1378.2164,2.2691803e-15
1346.7118,-1390.0746,2.4579535e-15
1348.3881,-1401.993,2.3571197e-15
1350.0645,-1413.9734,2.355344e-15
1351.7407,-1426.0142,2.3081694e-15
1353.4171,-1438.1187,2.2631928e-15
1355.0935,-1450.2831,2.280832e-15
1356.7698,-1462.5088,2.31591e-15
1358.446,-1474.7949,2.1011895e-15
1360.1224,-1487.1445,2.0513406e-15
1361.7988,-1499.5521,2.1034297e-15
1363.4751,-1512.0247,2.1568822e-15
1365.1515,-1524.5564,2.4640885e-15
1366.8279,-1537.1497,2.575863e-15
1368.5042,-1549.8029,2.5440455e-15
1370.1804,-1562.5197,2.526553e-15
1371.8568,-1575.2955,2.6006192e-15
1373.5332,-1588.1323,2.6327942e-15
1375.2095,-1601.0293,2.467758e-15
1376.8859,-1613.9891,2.4517993e-15
1378.5621,-1627.0111,2.5030656e-15
1380.2385,-1640.0918,2.4467362e-15
1381.9148,-1653.2335,2.3815767e-15
1383.5912,-1666.438,2.3693062e-15
1385.2676,-1679.703,2.600253e-15
1386.9438,-1693.0269,2.3666372e-15
1388.6202,-1706.4115,2.3725933e-15
1390.2965,-1719.857,2.441154e-15
1391.9729,-1733.366,2.2431912e-15
1393.6492,-1746.932,2.2719044e-15
1395.3256,-1760.5577,2.4576252e-15
1397.002,-1774.2482,2.8737234e-15
1398.6782,-1787.9945,2.6677965e-15
1400.3545,-1801.8054,2.48375e-15
1402.0309,-1815.672,2.456072e-15
1403.7073,-1829.6035,2.5213704e-15
1405.3835,-1843.5923,2.5849612e-15
1407.0599,-1857.6431,2.7102905e-15
1408.7362,-1871.7498,2.7876869e-15
1410.4126,-1885.9215,2.523766e-15
1412.0889,-1900.1483,2.4447296e-15
1413.7653,-1914.4403,2.6228348e-15
1415.4417,-1928.7867,2.553312e-15
1417.1179,-1943.1963,2.5897732e-15
1418.7943,-1957.6649,2.7303372e-15
1420.4706,-1972.1874,2.4678576e-15
1422.147,-1986.7764,2.632381e-15
1423.8232,-2001.4205,2.4407176e-15
1425.4996,-2016.1284,2.5081016e-15
1427.176,-2030.8911,2.6245924e-15
1428.8523,-2045.7137,2.5768e-15
1430.5286,-2060.5962,3.1053037e-15
1432.205,-2075.5393,2.8941574e-15
1433.8813,-2090.5364,2.9319715e-15
1435.5576,-2105.5955,2.5132008e-15
1437.234,-2120.7114,2.5344043e-15
1438.9103,-2135.887,2.6641378e-15
1440.5867,-2151.1187,2.5180346e-15
1442.263,-2166.4104,2.6716827e-15
1443.9393,-2181.7627,2.70028e-15
1445.6157,-2197.166,2.6217298e-15
1447.292,-2212.6345,2.705183e-15
1448.9684,-2228.1572,2.544764e-15
1450.6447,-2243.7397,2.5911807e-15
1452.321,-2259.3757,2.2679216e-15
1453.9973,-2275.0735,2.228129e-15
1455.6737,-2290.826,2.260875e-15
1457.3501,-2306.6396,2.5801945e-15
1459.0264,-2322.5032,2.5455625e-15
1460.7026,-2338.4297,2.528205e-15
1462.379,-2354.4102,2.6833104e-15
1464.0554,-2370.4507,2.566117e-15
1465.7317,-2386.5413,2.4625581e-15
1467.4081,-2402.6938,2.4989926e-15
1469.0845,-2418.9011,2.5304101e-15
1470.7607,-2435.164,2.5160523e-15
1472.437,-2451.4832,2.5835902e-15
1474.1134,-2467.8591,2.5149298e-15
1475.7898,-2484.2922,2.5847596e-15
1477.4661,-2500.777,2.4071514e-15
1479.1425,-2517.32,2.6909045e-15
1480.8187,-2533.9172,2.5377522e-15
1482.4951,-2550.5723,2.5421252e-15
1484.1714,-2567.28,2.7145523e-15
1485.8478,-2584.042,2.680031e-15
1487.5242,-2600.8591,2.5533825e-15
1489.2004,-2617.7317,2.6261105e-15
1490.8768,-2634.6597,2.6992155e-15
1492.5531,-2651.638,2.5850497e-15
1494.2295,-2668.6765,2.7417624e-15
1495.9058,-2685.7646,2.6617237e-15
1497.5822,-2702.9104,2.6153517e-15
1499.2585,-2720.1038,2.7306534e-15
1500.9348,-2737.3557,2.729274e-15
1502.6111,-2754.6584,2.7828994e-15
1504.2875,-2772.0166,2.7140208e-15
1505.9639,-2789.425,2.8139913e-15
1507.6401,-2806.8906,2.8394402e-15
1509.3165,-2824.4055,2.921346e-15
1510.9928,-2841.975,2.7466917e-15
1512.6692,-2859.595,2.6717634e-15
1514.3455,-2877.2651,2.762802e-15
1516.0219,-2894.9946,2.7327197e-15
1517.6982,-2912.7693,2.6292377e-15
1519.3745,-2930.598,2.5367915e-15
1521.0509,-2948.4778,2.7113243e-15
1522.7272,-2966.4116,4.216669e-15
1524.4036,-2984.3914,2.8268037e-15
1526.0798,-3002.4265,2.7272868e-15
1527.7562,-3020.5115,2.7229231e-15
1529.4326,-3038.6492,2.7592486e-15
1531.1089,-3056.8328,2.813205e-15
1532.7852,-3075.0706,2.94361e-15
1534.4615,-3093.3557,2.6405693e-15
1536.138,-3111.69,2.6284605e-15
1537.8142,-3130.078,2.740186e-15
1539.4906,-3148.5125,2.6376405e-15
1541.167,-3167.0,2.8045235e-15
1542.8433,-3185.5303,2.8329963e-15
1544.5195,-3204.116,2.87261e-15
1546.1959,-3222.7476,2.7916342e-15
1547.8723,-3241.4312,2.7045228e-15
1549.5486,-3260.1548,2.7269872e-15
1551.225,-3278.933,2.8473775e-15
1552.9012,-3297.7583,2.86309e-15
1554.5776,-3316.6362,2.7798514e-15
1556.2539,-3335.5525,3.6450373e-15
1557.9303,-3354.5227,3.731521e-15
1559.6067,-3373.5398,3.61619e-15
1561.283,-3392.5967,2.658625e-15
1562.9592,-3411.708,2.612048e-15
1564.6356,-3430.8633,2.6130246e-15
1566.312,-3450.0686,2.6088966e-15
1567.9883,-3469.315,2.541003e-15
1569.6647,-3488.609,2.3823771e-15
1571.3411,-3507.952,2.3968936e-15
1573.0173,-3527.3398,2.4777444e-15
1574.6936,-3546.765,2.6697142e-15
1576.37,-3566.2466,2.2490273e-15
1578.0464,-3585.7673,2.2846234e-15
1579.7227,-3605.337,2.3301944e-15
1581.399,-3624.9487,2.343808e-15
1583.0754,-3644.5994,2.28237e-15
1584.7517,-3664.2998,2.3098074e-15
1586.428,-3684.043,2.3461396e-15
1588.1044,-3703.8318,2.3637719e-15
1589.7808,-3723.6616,2.3217658e-15
1591.457,-3743.536,2.2192668e-15
