Wavelengths,Flux,Fluxerr
1150.5227,-403.54874,2.0816026e-14
1152.1991,-408.80252,1.9615226e-14
1153.8754,-414.1053,1.841442e-14
1155.5515,-419.45663,1.7586005e-14
1157.2278,-424.85547,1.6359467e-14
1158.904,-430.30524,1.6137475e-14
1160.5803,-435.8038,1.381349e-14
1162.2565,-441.3509,1.28849635e-14
1163.9329,-446.94897,1.2016218e-14
1165.609,-452.59674,1.1926995e-14
1167.2853,-458.29346,1.1461726e-14
1168.9617,-464.04208,1.3194586e-14
1170.6378,-469.8402,1.0035379e-14
1172.3141,-475.68878,9.649503e-15
1173.9904,-481.5887,9.337174e-15
1175.6666,-487.5396,8.920585e-15
1177.3428,-493.5423,1.17921335e-14
1179.0192,-499.59586,7.4358185e-15
1180.6954,-505.70163,7.4041945e-15
1182.3716,-511.8585,6.6231463e-15
1184.048,-518.06744,6.323377e-15
1185.7241,-524.3284,6.3126265e-15
1187.4004,-530.64233,5.905952e-15
1189.0765,-537.0086,5.7922057e-15
1190.7529,-543.4283,6.0380134e-15
1192.4291,-549.89954,5.6812007e-15
1194.1053,-556.42426,5.864955e-15
1195.7816,-563.00305,6.88235e-15
1197.4579,-569.6355,4.9385405e-15
1199.1342,-576.3204,8.672314e-15
1200.8104,-583.0591,7.20323e-15
1202.4867,-589.8528,1.0958499e-14
1204.1628,-596.6988,1.2864503e-14
1205.8392,-603.60144,1.8800513e-14
1207.5154,-610.5571,3.5505277e-14
1209.1917,-617.5673,1.7147479e-14
1210.868,-624.63306,4.6111725e-14
1212.5442,-631.75275,4.861028e-14
1214.2205,-638.92786,4.757901e-14
1215.8966,-646.15814,4.2306036e-14
1217.573,-653.4451,4.5425916e-14
1219.2491,-660.78485,5.995673e-14
1220.9254,-668.183,3.5419106e-14
1222.6017,-675.6363,1.02185724e-14
1224.278,-683.1456,4.6454904e-15
1225.9541,-690.70935,4.7617876e-15
1227.6305,-698.3312,4.020511e-15
1229.3068,-706.00885,3.103778e-15
1230.9829,-713.74207,3.0786816e-15
1232.6593,-721.5343,3.0159713e-15
1234.3354,-729.38165,4.959661e-15
1236.0117,-737.28534,4.5640007e-15
1237.688,-745.24756,5.118623e-15
1239.3643,-753.266,4.496733e-15
1241.0405,-761.34204,4.3015404e-15
1242.7168,-769.4751,4.6168878e-15
1244.3931,-777.6673,5.0683347e-15
1246.0692,-785.9152,3.0026626e-15
1247.7455,-794.2225,4.5767757e-15
1249.4218,-802.5866,3.856822e-15
1251.098,-811.00903,4.1527455e-15
1252.7743,-819.48944,3.047869e-15
1254.4506,-828.02905,5.002314e-15
1256.1268,-836.62683,4.167608e-15
1257.803,-845.2817,2.6685286e-15
1259.4794,-853.99725,2.5700943e-15
1261.1555,-862.76886,4.4506283e-15
1262.8318,-871.6012,4.7191145e-15
1264.508,-880.4922,5.5345175e-15
1266.1843,-889.4407,5.2239783e-15
1267.8605,-898.45026,5.248201e-15
1269.5369,-907.5183,4.6253035e-15
1271.2131,-916.6466,4.6865664e-15
1272.8893,-925.8315,5.736479e-15
1274.5656,-935.07855,5.0379982e-15
1276.2418,-944.38464,6.480311e-15
1277.9181,-953.7495,7.998074e-15
1279.5942,-963.1732,4.1570518e-15
1281.2706,-972.65924,4.362289e-15
1282.9469,-982.2032,4.585898e-15
1284.623,-991.8068,5.687943e-15
1286.2994,-1001.4734,6.3156792e-15
1287.9756,-1011.1958,8.007475e-15
1289.6519,-1020.9814,6.37115e-15
1291.3281,-1030.8264,9.893071e-15
1293.0044,-1040.7334,1.0950849e-14
1294.6805,-1050.6971,1.1930996e-14
1296.3569,-1060.7229,1.248256e-14
1298.0331,-1070.809,1.8608287e-14
1299.7094,-1080.956,1.959152e-14
1301.3856,-1091.1642,1.9706084e-14
1303.0619,-1101.4313,1.8562964e-14
1304.7382,-1111.7605,1.8579419e-14
1306.4143,-1122.1495,1.678523e-14
1308.0907,-1132.5989,1.6094663e-14
1309.7668,-1143.1107,1.24379555e-14
1311.4431,-1153.6827,5.6995682e-15
1313.1195,-1164.3179,6.2682924e-15
1314.7957,-1175.0094,4.886774e-15
1316.4719,-1185.7655,7.619558e-15
1318.1482,-1196.581,9.431666e-15
1319.8245,-1207.4584,7.882453e-15
1321.5006,-1218.395,5.227749e-15
1323.177,-1229.395,4.352931e-15
1324.8533,-1240.4543,5.4998027e-15
1326.5294,-1251.5758,3.4254163e-15
1328.2057,-1262.7604,4.6243603e-15
1329.882,-1274.0023,7.669082e-15
1331.5582,-1285.3088,5.1950136e-15
1333.2344,-1296.6742,6.876168e-15
1334.9108,-1308.1045,9.378053e-15
1336.5869,-1319.5898,8.291865e-15
1338.2632,-1331.141,7.431518e-15
1339.9395,-1342.7523,6.150482e-15
1341.6157,-1354.4248,5.7911516e-15
1343.292,-1366.1604,6.1296014e-15
1344.9683,-1377.9545,6.855943e-15
1346.6445,-1389.8121,5.5281936e-15
1348.3207,-1401.7294,6.345576e-15
1349.9971,-1413.7089,6.5697417e-15
1351.6732,-1425.7489,7.820987e-15
1353.3495,-1437.851,8.090893e-15
1355.0259,-1450.0159,8.427763e-15
1356.702,-1462.2384,9.1108e-15
1358.3782,-1474.526,1.0010282e-14
1360.0544,-1486.8701,7.2215895e-15
1361.7308,-1499.2815,6.6849627e-15
1363.407,-1511.7506,5.271573e-15
1365.0833,-1524.2817,6.103712e-15
1366.7596,-1536.8723,5.212434e-15
1368.4358,-1549.5251,5.01055e-15
1370.1119,-1562.24,4.8666164e-15
1371.7883,-1575.0146,5.056056e-15
1373.4646,-1587.8525,5.603702e-15
1375.1407,-1600.7499,4.3332634e-15
1376.8171,-1613.7062,6.233137e-15
1378.4933,-1626.7258,4.464944e-15
1380.1696,-1639.8073,4.8111603e-15
