Wavelengths,Flux,Fluxerr
1151.043,-0.12573437,3.639039e-14
1152.7201,-0.13062872,3.4124308e-14
1154.3971,-0.13569617,3.3824418e-14
1156.0741,-0.14094341,3.473382e-14
1157.7511,-0.14637585,3.1250068e-14
1159.4282,-0.15200031,2.9870512e-14
1161.1052,-0.15782095,2.4945412e-14
1162.7823,-0.16384616,2.7249916e-14
1164.4594,-0.17008017,3.3524375e-14
1166.1365,-0.17653127,1.6876901e-14
1167.8135,-0.18320559,1.534859e-14
1169.4906,-0.19010986,1.4360715e-14
1171.1676,-0.19725156,1.3632588e-14
1172.8447,-0.20463707,1.23887064e-14
1174.5217,-0.2122758,1.1298417e-14
1176.1987,-0.22017379,1.0398598e-14
1177.8759,-0.22834003,9.527124e-15
1179.5529,-0.2367809,9.344938e-15
1181.23,-0.2455086,7.843927e-15
1182.907,-0.25452614,7.517569e-15
1184.5841,-0.26384777,7.404988e-15
1186.2611,-0.2734787,6.6872e-15
1187.9382,-0.28343192,6.1675065e-15
1189.6152,-0.29371193,6.262915e-15
1191.2924,-0.30433327,5.604586e-15
1192.9694,-0.31530297,5.244739e-15
1194.6464,-0.326632,5.2546972e-15
1196.3235,-0.3383327,5.036824e-15
1198.0005,-0.35041258,4.98746e-15
1199.6775,-0.36288717,5.081436e-15
1201.3546,-0.37576482,4.1127045e-15
1203.0316,-0.38905677,4.1466993e-15
1204.7087,-0.4027759,4.7239925e-15
1206.3857,-0.41693595,8.637326e-15
1208.0629,-0.43154836,1.0485684e-14
1209.7399,-0.44662458,9.091454e-15
1211.417,-0.4621791,2.0069717e-13
1213.094,-0.47822517,1.3234574e-13
1214.7711,-0.49477896,1.5176737e-13
1216.4481,-0.5118514,2.2034124e-14
1218.1252,-0.52945936,1.5380123e-13
1219.8022,-0.5476145,4.8298042e-14
1221.4794,-0.5663389,1.27159415e-14
1223.1564,-0.5856413,5.164576e-15
1224.8335,-0.605541,2.9784122e-15
1226.5105,-0.6260507,2.5309857e-15
1228.1876,-0.6471961,2.5041561e-15
1229.8646,-0.66898197,2.3761222e-15
1231.5417,-0.6914387,2.2783437e-15
