Wavelengths,Flux,Fluxerr
1150.6232,1.201892e-10,2.651423e-10
1152.2997,-4.8636234e-12,2.370556e-10
1153.9761,-1.0177292e-10,2.3104141e-10
1155.6525,-3.5381028e-11,2.1034252e-10
1157.3289,-8.743992e-12,1.9459274e-10
1159.0052,-2.3833294e-10,1.7658287e-10
1160.6816,-1.7473782e-10,1.6280331e-10
1162.358,-4.1798917e-10,1.5144469e-10
1164.0344,-1.8700022e-10,1.4215198e-10
1165.7108,9.0171495e-11,1.5317643e-10
1167.3872,-9.328137e-11,2.463162e-10
1169.0637,-2.910807e-11,1.1781712e-10
1170.74,-2.2933364e-10,1.0858776e-10
1172.4165,-1.6315035e-10,1.0159985e-10
1174.0928,-1.5705282e-10,9.513599e-11
1175.7693,-1.4098095e-10,8.909125e-11
1177.4456,-1.3175316e-10,8.363047e-11
1179.1221,-3.9849103e-11,8.064929e-11
1180.7986,-1.8470636e-10,7.458695e-11
1182.4749,-8.493215e-11,7.055376e-11
1184.1514,-3.992369e-11,6.864434e-11
1185.8276,-6.275916e-11,6.649788e-11
1187.5042,-1.7613466e-10,6.047859e-11
1189.1804,-1.8704274e-10,5.784083e-11
1190.8569,-2.018252e-10,5.638154e-11
1192.5332,-8.338723e-11,6.869227e-11
1194.2097,-6.265042e-11,5.23556e-11
1195.886,-1.4305895e-10,5.1328056e-11
1197.5625,-1.6306155e-10,5.1623972e-11
1199.2389,-5.969081e-11,4.7806974e-11
1200.9153,-2.2476611e-10,4.5350324e-11
1202.5917,-2.2352814e-11,4.691054e-11
1204.2681,-9.222942e-12,4.6277177e-11
1205.9445,-4.2776598e-11,4.9311877e-11
1207.6208,-1.1523607e-10,4.018674e-11
1209.2972,-1.5403445e-10,3.9096424e-11
1210.9738,-8.3601945e-12,4.2106842e-11
1212.65,-6.7017995e-11,3.800504e-11
1214.3265,-7.185818e-11,3.7133005e-11
1216.0028,-1.03473494e-10,3.5313592e-11
1217.6793,-1.0892558e-10,3.4479534e-11
1219.3556,-5.673113e-11,3.5122343e-11
1221.0321,-1.8584226e-10,3.2968194e-11
1222.7084,-6.954705e-11,3.288694e-11
1224.3849,-1.5061263e-10,3.164343e-11
1226.0612,-1.0584255e-10,3.1517178e-11
1227.7377,-7.7588e-11,3.1023146e-11
1229.4141,-7.231962e-11,3.08135e-11
1231.0905,-1.9549924e-11,4.650711e-11
1232.7668,-1.06290025e-10,3.0802333e-11
1234.4432,-3.59548e-11,3.1111273e-11
1236.1196,-8.4663e-11,2.8468623e-11
1237.796,-2.2838675e-11,3.105421e-11
1239.4724,-5.3926176e-11,2.93728e-11
1241.1489,-2.3504726e-11,5.0538008e-11
1242.8252,-1.3025975e-10,2.7015779e-11
1244.5017,-7.760044e-11,3.305654e-11
1246.1781,-6.5018914e-11,3.21568e-11
1247.8545,-1.2568233e-10,2.6233116e-11
1249.5309,-1.3254524e-10,2.6004619e-11
1251.2073,-3.583007e-11,2.8303542e-11
1252.8838,-9.186587e-11,2.5694101e-11
1254.56,-2.1632647e-11,2.8054515e-11
1256.2366,-9.041952e-11,2.5281218e-11
1257.9128,-6.549478e-11,2.6120998e-11
1259.5894,-7.179696e-11,2.8146199e-11
1261.2656,-4.962299e-11,2.6479263e-11
1262.9421,-1.5071161e-10,2.4650233e-11
1264.6184,-8.245958e-11,2.473744e-11
1266.2949,-1.7141677e-11,2.7581989e-11
1267.9712,-5.0352972e-11,2.6285253e-11
1269.6477,-6.204655e-11,2.5391111e-11
1271.3241,-2.622122e-11,2.6451041e-11
1273.0005,-7.002286e-11,2.4645102e-11
1274.6769,-9.267722e-11,2.3801837e-11
1276.3533,-9.177409e-11,2.4296952e-11
1278.0297,-4.4181093e-11,2.5822604e-11
1279.706,-2.4657575e-11,2.6407368e-11
1281.3824,-7.6233735e-11,2.377757e-11
1283.059,-1.1397121e-10,2.3548124e-11
1284.7352,4.264533e-12,2.8879257e-11
1286.4117,-9.5039844e-11,2.8011723e-11
