Wavelengths,Flux,Fluxerr
1150.6522,-384.63965,3.5333617e-10
1152.3287,-389.7033,3.498953e-10
1154.0052,-394.8142,3.0550085e-10
1155.6816,-399.97192,3.0552025e-10
1157.358,-405.17798,3.8719547e-10
1159.0344,-410.4318,2.467073e-10
1160.7109,-415.7351,2.3073789e-10
1162.3873,-421.08594,2.1487445e-10
1164.0638,-426.48624,2.350543e-10
1165.7402,-431.9351,1.923245e-10
1167.4167,-437.4333,1.808155e-10
1169.0931,-442.98056,1.552823e-10
1170.7695,-448.57693,1.4568138e-10
1172.446,-454.22406,1.3479039e-10
1174.1224,-459.9203,1.3194831e-10
1175.799,-465.6671,1.2622756e-10
1177.4753,-471.4643,1.1120321e-10
1179.1519,-477.3123,1.04884386e-10
1180.8282,-483.20984,9.921235e-11
1182.5046,-489.1594,1.0225065e-10
1184.1812,-495.15982,8.852915e-11
1185.8575,-501.2113,8.5520147e-11
1187.534,-507.31485,8.013822e-11
1189.2104,-513.4693,7.6022626e-11
1190.887,-519.6759,7.0322255e-11
1192.5632,-525.93524,7.982353e-11
1194.2397,-532.2459,6.706559e-11
1195.9161,-538.60986,6.334404e-11
1197.5927,-545.02576,6.087875e-11
1199.2692,-551.4957,5.7878872e-11
1200.9456,-558.01666,5.874631e-11
1202.6221,-564.59265,5.6703295e-11
1204.2983,-571.2199,5.176736e-11
1205.9749,-577.90265,5.005748e-11
1207.6512,-584.6364,5.0918e-11
1209.3278,-591.4266,4.97446e-11
1211.0043,-598.26984,4.8255337e-11
1212.6807,-605.16736,4.7495147e-11
1214.3572,-612.1188,4.5280134e-11
1216.0334,-619.125,4.6154375e-11
1217.71,-626.1853,4.265751e-11
1219.3864,-633.3014,4.3089927e-11
1221.0629,-640.4714,3.9210444e-11
1222.7393,-647.6978,3.8330117e-11
1224.4158,-654.9776,3.752592e-11
1226.0922,-662.31433,3.749225e-11
1227.7686,-669.70496,3.763411e-11
1229.4451,-677.1536,3.506574e-11
1231.1215,-684.6559,3.461251e-11
1232.798,-692.21655,3.412361e-11
1234.4744,-699.8306,3.5581853e-11
1236.1509,-707.50366,3.395859e-11
1237.8273,-715.23083,3.25738e-11
1239.5037,-723.0161,3.1498207e-11
1241.1802,-730.85736,3.4090005e-11
1242.8566,-738.75586,3.633054e-11
1244.5331,-746.7094,3.0574474e-11
1246.2095,-754.72235,3.184135e-11
1247.886,-762.79114,2.9941053e-11
1249.5624,-770.91864,3.021107e-11
1251.2389,-779.1025,3.168924e-11
1252.9153,-787.3449,2.9760115e-11
1254.5917,-795.64276,2.836389e-11
1256.2682,-804.00134,3.1241083e-11
1257.9446,-812.4156,2.8066985e-11
1259.6211,-820.8898,2.7841097e-11
1261.2975,-829.4197,2.969101e-11
1262.974,-838.01013,2.7332973e-11
1264.6503,-846.6565,2.958183e-11
1266.3268,-855.36487,2.780941e-11
1268.0032,-864.12823,2.8822738e-11
1269.6797,-872.95404,2.6212425e-11
1271.3562,-881.8362,2.7680972e-11
1273.0326,-890.7781,2.6124136e-11
