Wavelengths,Flux,Fluxerr
1150.6204,-1.0855822e-13,1.1752182e-13
1152.2969,8.29977e-14,1.3647244e-13
1153.9733,-1.012441e-13,1.0343525e-13
1155.6497,-5.3821995e-14,9.687722e-14
1157.326,7.6709025e-14,9.300467e-14
1159.0024,-1.1740743e-13,9.693698e-14
1160.6788,3.8999914e-14,7.8111305e-14
1162.3552,4.557216e-14,7.2964265e-14
1164.0316,1.3685125e-13,9.3736535e-14
1165.708,-3.864436e-15,6.130116e-14
1167.3844,1.0521333e-14,7.1024804e-14
1169.0609,3.732786e-14,5.48301e-14
1170.7372,-1.1213658e-14,5.3221906e-14
1172.4136,-8.3820713e-14,4.8661196e-14
1174.09,1.4881785e-13,5.633399e-14
1175.7664,-6.600793e-14,5.21951e-14
1177.4427,6.5685186e-15,3.8939297e-14
1179.1191,7.919955e-14,3.9131065e-14
1180.7957,-5.4923005e-15,3.326119e-14
1182.4719,-2.9264717e-14,3.4076522e-14
1184.1484,-4.8900313e-14,2.9642646e-14
1185.8247,2.8872544e-14,3.029828e-14
1187.5012,-2.617712e-14,3.5902254e-14
1189.1775,2.9962805e-14,2.8369632e-14
1190.854,3.5780518e-14,2.6296073e-14
1192.5303,3.9966165e-14,2.6189618e-14
1194.2068,4.4037697e-14,4.1637558e-14
1195.883,-2.4060347e-14,3.6367705e-14
1197.5596,2.936858e-15,4.287276e-14
1199.236,1.6061598e-14,2.3180205e-14
1200.9124,2.5363822e-14,2.086267e-14
1202.5887,2.1592215e-14,1.9614774e-14
1204.2651,2.4099946e-14,1.9423292e-14
1205.9415,6.506874e-14,2.0826118e-14
1207.6179,6.922392e-14,3.2447315e-14
1209.2943,1.8661456e-13,5.8445646e-14
1210.9707,2.1954191e-13,5.4942338e-14
1212.6471,3.0378022e-13,3.131916e-14
1214.3235,3.2745654e-13,8.723978e-14
1215.9999,3.8741926e-13,7.982597e-14
1217.6763,3.7732773e-13,8.357871e-14
1219.3527,2.515475e-13,6.929395e-14
1221.029,1.5287732e-13,5.5628533e-14
1222.7054,8.408827e-14,3.2883977e-14
1224.3818,1.3338398e-14,1.4397061e-14
1226.0582,-3.000521e-14,1.30009545e-14
1227.7346,1.3402916e-14,1.7596859e-14
1229.4111,-3.0464582e-15,1.3482955e-14
1231.0874,-1.0112554e-14,1.1873258e-14
1232.7639,-1.3484686e-14,1.1802394e-14
1234.4402,-7.362949e-15,1.203167e-14
1236.1167,-1.5668688e-14,1.1236729e-14
1237.793,2.0930011e-14,1.3152499e-14
1239.4695,-2.6184536e-14,1.3268424e-14
1241.1459,7.9416793e-16,1.2729349e-14
1242.8223,-1.720533e-14,1.2858613e-14
1244.4987,-2.1433064e-14,1.0486641e-14
1246.175,7.4674035e-15,1.1262387e-14
1247.8514,1.16998975e-14,1.2011422e-14
1249.5278,2.0020803e-14,1.2008024e-14
1251.2042,2.4553237e-14,1.1709001e-14
1252.8806,3.5082512e-15,1.1968332e-14
1254.557,8.1248146e-15,1.1199661e-14
1256.2334,3.3976042e-15,1.0332369e-14
1257.9098,-1.1145114e-14,9.760545e-15
1259.5862,9.165574e-16,1.00714615e-14
1261.2626,2.9924327e-15,1.0768573e-14
1262.939,-1.7013782e-14,9.536569e-15
1264.6154,-1.6764e-14,9.258248e-15
1266.2917,-7.399141e-15,9.414517e-15
1267.9681,-2.6861292e-14,9.330981e-15
1269.6445,-2.8209362e-14,9.0213735e-15
1271.321,1.1319404e-14,1.00952334e-14
1272.9973,-9.528287e-15,9.027501e-15
1274.6738,-1.1053891e-14,8.8623024e-15
1276.3501,5.725011e-16,9.476561e-15
1278.0266,-1.727065e-14,8.766357e-15
1279.7029,-5.096616e-15,9.006419e-15
1281.3794,1.0442347e-14,9.698011e-15
