Wavelengths,Flux,Fluxerr
1150.6094,-403.72522,2.7240282e-10
1152.2859,-408.98065,2.536642e-10
1153.9623,-414.28558,2.4345362e-10
1155.6385,-419.6374,2.2588434e-10
1157.3151,-425.0403,2.0915682e-10
1158.9913,-430.48947,1.9015642e-10
1160.6677,-435.98962,1.8358336e-10
1162.3441,-441.5393,1.6226691e-10
1164.0205,-447.1387,1.5633393e-10
1165.6968,-452.7876,1.5598717e-10
1167.3733,-458.48724,1.3810283e-10
1169.0497,-464.23718,1.2847548e-10
1170.7261,-470.03766,1.1718267e-10
1172.4025,-475.8877,1.0952882e-10
1174.0787,-481.78918,1.0856244e-10
1175.7552,-487.7426,9.874641e-11
1177.4315,-493.74585,9.8143965e-11
1179.1079,-499.8008,8.9467836e-11
1180.7844,-505.90878,8.0174235e-11
1182.4607,-512.06726,7.576e-11
1184.1371,-518.2785,7.172065e-11
1185.8135,-524.5418,6.9925975e-11
1187.4899,-530.85675,6.6689085e-11
1189.1661,-537.2251,6.298329e-11
1190.8427,-543.6467,6.1531356e-11
1192.5189,-550.11975,5.7690245e-11
1194.1953,-556.6468,5.810814e-11
1195.8717,-563.22626,5.3478208e-11
1197.5481,-569.8607,5.162776e-11
1199.2245,-576.5475,5.0597155e-11
1200.9009,-583.289,4.8747856e-11
1202.5773,-590.0829,5.1337105e-11
1204.2535,-596.9327,4.5895784e-11
1205.93,-603.83575,4.4341e-11
1207.6063,-610.79407,4.303961e-11
1209.2828,-617.806,4.322034e-11
1210.9592,-624.8735,4.083554e-11
1212.6355,-631.9955,3.9723884e-11
1214.312,-639.17316,3.867298e-11
1215.9883,-646.4044,3.7705644e-11
1217.6647,-653.69275,3.8275095e-11
1219.3411,-661.0359,3.838376e-11
1221.0175,-668.4356,3.5071578e-11
1222.6937,-675.8885,3.5644487e-11
1224.3702,-683.4011,3.3588972e-11
1226.0465,-690.9666,3.34239e-11
1227.7229,-698.59106,3.301666e-11
1229.3994,-706.2705,3.188141e-11
1231.0757,-714.00525,3.1455276e-11
1232.7521,-721.7986,3.2311414e-11
1234.4285,-729.6474,3.1050346e-11
1236.1049,-737.5549,3.06166e-11
1237.7811,-745.5165,2.9693536e-11
1239.4576,-753.53894,3.0709515e-11
1241.134,-761.61633,2.8822406e-11
