Wavelengths,Flux,Fluxerr
1150.5227,-30.1424,1.5877773e-14
1152.1991,-30.776278,1.4364854e-14
1153.8754,-31.42126,1.3459509e-14
1155.5515,-32.07748,1.3371419e-14
1157.2278,-32.744987,1.24335e-14
1158.904,-33.424248,1.1490864e-14
1160.5803,-34.115154,1.1140913e-14
1162.2565,-34.817806,1.0062004e-14
1163.9329,-35.53255,9.416631e-15
1165.609,-36.25954,1.0204315e-14
1167.2853,-36.998817,9.1640105e-15
1168.9617,-37.75065,8.544848e-15
1170.6378,-38.515026,8.305975e-15
1172.3141,-39.29228,7.68846e-15
1173.9904,-40.082554,7.187899e-15
1175.6666,-40.885883,6.527382e-15
1177.3428,-41.702637,6.1211387e-15
1179.0192,-42.53294,5.848307e-15
1180.6954,-43.376854,5.415462e-15
1182.3716,-44.234413,5.3858166e-15
1184.048,-45.10617,5.1929896e-15
1185.7241,-45.992092,5.9578646e-15
1187.4004,-46.892296,5.561619e-15
1189.0765,-47.807045,8.2388786e-15
1190.7529,-48.736645,8.457269e-15
1192.4291,-49.68097,5.0981816e-15
1194.1053,-50.640427,4.7925844e-15
1195.7816,-51.61515,4.1558668e-15
1197.4579,-52.605335,3.719088e-15
1199.1342,-53.61116,3.5310415e-15
1200.8104,-54.632603,3.6864424e-15
1202.4867,-55.67031,3.8584612e-15
1204.1628,-56.72399,3.768646e-15
1205.8392,-57.79416,6.0398023e-15
1207.5154,-58.88075,9.965766e-15
1209.1917,-59.984295,1.0115788e-14
1210.868,-61.104694,2.8985694e-14
1212.5442,-62.242134,3.4816117e-14
1214.2205,-63.397213,1.01224706e-13
1215.8966,-64.56944,3.3395212e-14
1217.573,-65.7598,3.740715e-14
1219.2491,-66.967804,2.5136374e-14
1220.9254,-68.19416,1.634072e-14
1222.6017,-69.43875,9.738708e-15
1224.278,-70.70203,6.7281144e-15
1225.9541,-71.98375,2.7464694e-15
1227.6305,-73.2847,2.5452165e-15
1229.3068,-74.604675,2.5451343e-15
1230.9829,-75.94404,2.3918031e-15
1232.6593,-77.30338,2.3935472e-15
1234.3354,-78.682014,2.291109e-15
1236.0117,-80.08094,2.6645575e-15
1237.688,-81.49998,2.6704694e-15
1239.3643,-82.93941,2.4832016e-15
1241.0405,-84.3996,2.197416e-15
1242.7168,-85.88065,2.237388e-15
1244.3931,-87.38301,2.3192956e-15
1246.0692,-88.90622,2.2665458e-15
1247.7455,-90.45129,2.2638512e-15
1249.4218,-92.01817,2.1192237e-15
1251.098,-93.60699,2.2965289e-15
1252.7743,-95.21798,2.2243115e-15
1254.4506,-96.851204,2.3354627e-15
1256.1268,-98.50751,2.1705075e-15
1257.803,-100.1864,2.1979937e-15
1259.4794,-101.88873,2.3271008e-15
1261.1555,-103.61405,2.337858e-15
1262.8318,-105.363205,2.25361e-15
1264.508,-107.1361,2.1735014e-15
1266.1843,-108.93299,2.1684793e-15
1267.8605,-110.75423,2.1784838e-15
1269.5369,-112.600334,2.1208043e-15
1271.2131,-114.47092,2.1557605e-15
1272.8893,-116.36624,2.1684598e-15
1274.5656,-118.28738,2.1218588e-15
1276.2418,-120.2337,2.1925327e-15
1277.9181,-122.205956,2.0399255e-15
1279.5942,-124.203804,2.079784e-15
1281.2706,-126.228264,2.0336425e-15
1282.9469,-128.27916,1.956508e-15
1284.623,-130.35652,1.994182e-15
1286.2994,-132.46141,1.9794304e-15
1287.9756,-134.59286,1.887715e-15
1289.6519,-136.75197,1.9711458e-15
1291.3281,-138.93909,2.052826e-15
1293.0044,-141.15404,2.0611511e-15
1294.6805,-143.39713,2.0794996e-15
1296.3569,-145.66862,2.1222192e-15
1298.0331,-147.969,2.03651e-15
1299.7094,-150.29823,1.9766837e-15
1301.3856,-152.65709,2.0971682e-15
1303.0619,-155.04526,2.1988232e-15
1304.7382,-157.4634,2.4278933e-15
1306.4143,-159.9112,2.1599897e-15
1308.0907,-162.3893,2.1341088e-15
1309.7668,-164.89815,2.0569966e-15
1311.4431,-167.43777,2.1100156e-15
1313.1195,-170.0088,2.4443372e-15
1314.7957,-172.61063,1.9674026e-15
1316.4719,-175.24457,1.9961073e-15
1318.1482,-177.91005,2.0618963e-15
1319.8245,-180.60811,2.1243298e-15
1321.5006,-183.33784,1.8941527e-15
1323.177,-186.1013,1.9797383e-15
1324.8533,-188.8973,1.9962917e-15
1326.5294,-191.72586,1.923871e-15
1328.2057,-194.58891,1.9121148e-15
1329.882,-197.48514,1.874538e-15
1331.5582,-200.416,2.0715237e-15
1333.2344,-203.38045,2.21149e-15
1334.9108,-206.38028,2.2467098e-15
1336.5869,-209.41443,2.122502e-15
1338.2632,-212.48407,1.9574559e-15
1339.9395,-215.5893,1.970782e-15
1341.6157,-218.72963,1.934454e-15
1343.292,-221.90671,1.957263e-15
1344.9683,-225.11967,1.7475438e-15
1346.6445,-228.36964,1.8658766e-15
1348.3207,-231.6557,1.7564322e-15
1349.9971,-234.97977,1.923532e-15
1351.6732,-238.34042,1.9289384e-15
1353.3495,-241.73936,1.800914e-15
1355.0259,-245.17648,1.8757136e-15
1356.702,-248.65125,2.047118e-15
1358.3782,-252.16513,2.113181e-15
1360.0544,-255.71747,1.9893795e-15
1361.7308,-259.30966,2.071542e-15
