Wavelengths,Flux,Fluxerr
1150.591,2.1700338e-13,3.9241462e-13
1152.2672,3.8328942e-14,3.6269027e-13
1153.9436,3.35868e-14,3.3913784e-13
1155.6199,2.3288307e-14,3.149167e-13
1157.2963,-7.1123324e-16,2.9100902e-13
1158.9727,1.1495613e-13,2.72521e-13
1160.6489,-1.8008139e-14,2.4449634e-13
1162.3253,1.8200652e-13,2.3493886e-13
1164.0017,1.398467e-13,2.1705339e-13
1165.678,1.5975831e-13,2.072068e-13
1167.3544,-3.881368e-14,1.860995e-13
1169.0308,-1.5663375e-13,1.7313905e-13
1170.707,-8.574587e-15,1.6184352e-13
1172.3834,-3.4393786e-14,1.5079875e-13
1174.0598,8.668211e-14,1.4447005e-13
1175.7361,-5.6057986e-14,1.3102198e-13
1177.4125,-7.73075e-14,1.22593e-13
1179.0889,1.3914647e-14,1.160762e-13
1180.7651,-5.692879e-14,1.0884191e-13
1182.4415,4.8213115e-18,1.0303392e-13
1184.1179,4.967102e-14,9.927222e-14
1185.7943,7.4193906e-14,9.5000254e-14
1187.4707,-4.2236275e-14,8.680115e-14
1189.147,-3.7649564e-14,1.3873695e-13
1190.8234,-5.3127885e-14,1.06281866e-13
1192.4998,3.7644285e-14,2.7791276e-13
1194.176,-2.708476e-13,2.644403e-13
1195.8524,-1.9143692e-14,2.398221e-13
1197.5287,-2.0061559e-14,1.1592643e-13
1199.2051,5.727497e-15,7.281495e-14
1200.8815,-9.804236e-15,6.408991e-14
1202.5577,9.871346e-15,6.265141e-14
1204.2341,-1.1035188e-14,5.969081e-14
1205.9105,1.8455074e-14,5.898549e-14
1207.5868,1.0599554e-13,6.0711344e-14
1209.2632,1.2078981e-13,5.952885e-14
1210.9396,7.632687e-14,5.6397585e-14
1212.6158,3.343649e-14,5.2894507e-14
1214.2922,5.1192977e-14,5.33534e-14
1215.9686,1.1394524e-13,5.3706056e-14
1217.6449,8.855012e-14,5.1276627e-14
1219.3213,7.2912725e-14,4.8888126e-14
1220.9977,1.1117727e-13,4.9650913e-14
1222.674,-9.505565e-16,4.3904747e-14
1224.3503,-8.898475e-15,4.2509785e-14
1226.0267,9.624107e-16,4.2220693e-14
1227.703,1.27442654e-14,4.183146e-14
1229.3794,2.4921837e-14,4.1410882e-14
1231.0557,-2.2176314e-14,3.9198272e-14
1232.732,-2.2988225e-14,3.8445934e-14
1234.4084,1.1974467e-14,3.878466e-14
1236.0847,-1.19497155e-14,3.7273885e-14
1237.7611,2.9658994e-15,3.728085e-14
1239.4375,1.6595183e-14,3.7285204e-14
1241.1138,8.2367456e-14,3.915909e-14
1242.7902,1.4461309e-15,3.535995e-14
1244.4664,2.1761418e-14,3.586325e-14
1246.1428,1.3650155e-14,3.50099e-14
1247.8192,-7.165486e-15,3.3608844e-14
1249.4956,-1.25401585e-14,3.29758e-14
1251.172,-2.1000325e-14,3.285476e-14
1252.8484,-1.7390139e-14,3.2455084e-14
1254.5247,-7.59487e-15,3.231489e-14
1256.201,-9.571557e-16,3.2104165e-14
1257.8774,-2.0031284e-14,3.1226435e-14
1259.5537,-8.026088e-15,3.1108013e-14
1261.2301,-4.7065945e-15,3.111498e-14
1262.9065,-3.2076028e-15,3.0841557e-14
1264.5828,-1.2107625e-14,3.0139723e-14
