Wavelengths,Flux,Fluxerr
1150.7336,-1.5716574,3.8036038e-14
1152.4103,-1.6196654,3.560652e-14
1154.0869,-1.668973,3.769072e-14
1155.7634,-1.7196143,3.2789384e-14
1157.44,-1.7716178,3.042144e-14
1159.1166,-1.8250204,2.809839e-14
1160.7932,-1.8798522,2.4169333e-14
1162.4698,-1.9361478,2.378577e-14
1164.1465,-1.9939342,2.1731015e-14
1165.823,-2.0532475,1.752105e-14
1167.4996,-2.1141322,1.6099462e-14
1169.1763,-2.176617,1.5032343e-14
1170.8529,-2.24074,1.4389e-14
1172.5295,-2.3065305,1.2740244e-14
1174.206,-2.3740282,1.1915613e-14
1175.8827,-2.4432917,1.1018814e-14
1177.5593,-2.5143383,1.0358186e-14
1179.236,-2.58721,9.721371e-15
1180.9126,-2.6619568,8.728126e-15
1182.5891,-2.7386055,8.713011e-15
1184.2657,-2.817213,7.766946e-15
1185.9424,-2.8978026,7.2116334e-15
1187.619,-2.9804428,7.107339e-15
1189.2955,-3.0651612,6.550914e-15
1190.9722,-3.1520188,5.9241565e-15
1192.6488,-3.2410467,5.771252e-15
1194.3253,-3.3322814,5.554233e-15
1196.0021,-3.4258058,5.723959e-15
1197.6785,-3.5216284,5.3410696e-15
1199.3551,-3.6198235,5.89801e-15
1201.0317,-3.7204432,4.5731296e-15
1202.7084,-3.8235204,4.711116e-15
1204.385,-3.9291236,5.5625297e-15
1206.0615,-4.0372906,8.797557e-15
1207.7382,-4.1480875,6.1911823e-15
1209.4148,-4.2615595,2.1211784e-14
1211.0914,-4.377769,2.5351242e-14
1212.7681,-4.4967847,3.419306e-14
1214.4446,-4.618627,3.381163e-14
1216.1212,-4.743388,1.24768936e-14
1217.7979,-4.871107,2.1880821e-14
1219.4745,-5.0018682,1.7008433e-14
1221.1511,-5.1356974,1.1504195e-14
1222.8276,-5.272694,1.1386798e-14
1224.5043,-5.41288,5.2307774e-15
1226.1809,-5.556369,2.7693285e-15
1227.8575,-5.7031803,2.6677826e-15
1229.5342,-5.853421,2.6473987e-15
1231.2107,-6.0070977,2.5023774e-15
1232.8873,-6.164356,2.608667e-15
1234.564,-6.325244,2.7470951e-15
1236.2405,-6.4897556,3.2663314e-15
1237.9172,-6.6580906,2.431628e-15
1239.5936,-6.8301973,3.8908234e-15
1241.2703,-7.0062394,2.37079e-15
1242.9469,-7.1862397,2.344014e-15
1244.6235,-7.370322,2.2265633e-15
1246.3002,-7.558516,2.2034656e-15
1247.9767,-7.750924,2.3252602e-15
1249.6533,-7.9476423,2.335288e-15
1251.33,-8.148714,2.186611e-15
1253.0066,-8.354248,2.1433017e-15
1254.6832,-8.564291,2.1076937e-15
1256.3597,-8.778991,2.1849488e-15
1258.0364,-8.998363,2.020364e-15
1259.713,-9.222559,1.972829e-15
1261.3896,-9.451645,2.008738e-15
1263.0662,-9.685686,2.2953585e-15
1264.7428,-9.924773,2.0173542e-15
1266.4194,-10.169067,1.9425464e-15
1268.0961,-10.418598,1.8896303e-15
1269.7727,-10.67345,1.8685337e-15
1271.4492,-10.933754,1.8383813e-15
1273.1259,-11.199587,2.4310299e-15
1274.8025,-11.4710865,1.8719595e-15
1276.4791,-11.748302,1.9004103e-15
1278.1556,-12.031383,2.0416435e-15
1279.8323,-12.320378,1.8758963e-15
1281.5088,-12.615462,1.8651439e-15
1283.1854,-12.91664,2.4347166e-15
1284.862,-13.224137,2.8004978e-15
1286.5387,-13.537985,1.886638e-15
1288.2152,-13.85834,2.2663696e-15
1289.8918,-14.18529,1.896119e-15
1291.5685,-14.518939,1.865843e-15
1293.2451,-14.859448,2.6901578e-15
1294.9218,-15.206861,1.9646275e-15
1296.5983,-15.561347,1.8939187e-15
1298.2749,-15.923027,1.7213554e-15
1299.9515,-16.292017,1.676225e-15
1301.6282,-16.66839,1.6854668e-15
1303.3048,-17.052368,1.8361629e-15
1304.9813,-17.444035,2.0957459e-15
1306.658,-17.843449,2.1041774e-15
1308.3346,-18.250835,1.8670385e-15
1310.0112,-18.666315,1.9009096e-15
1311.6879,-19.089964,1.726472e-15
1313.3644,-19.521908,1.7818109e-15
1315.041,-19.962435,1.8121338e-15
1316.7177,-20.41148,1.691735e-15
1318.3943,-20.869362,1.6927832e-15
1320.0708,-21.336065,1.822862e-15
1321.7474,-21.811836,1.8313236e-15
1323.424,-22.296711,1.8484544e-15
1325.1007,-22.791044,1.7258367e-15
1326.7772,-23.294847,1.7136e-15
1328.4539,-23.8082,1.7719533e-15
1330.1304,-24.331394,1.7611347e-15
1331.807,-24.864483,1.7489511e-15
1333.4836,-25.407707,1.9909598e-15
1335.1603,-25.961123,1.7706723e-15
1336.8368,-26.525026,1.7039913e-15
1338.5134,-27.099436,1.7417833e-15
1340.1901,-27.684647,1.816468e-15
1341.8667,-28.28087,1.8274416e-15
1343.5433,-28.887966,1.8589002e-15
1345.2198,-29.506323,1.7083017e-15
1346.8965,-30.136154,1.9156444e-15
1348.5731,-30.777637,1.718886e-15
1350.2498,-31.43079,1.7708521e-15
1351.9264,-32.09592,1.776924e-15
1353.6029,-32.773182,1.8275494e-15
1355.2795,-33.46276,1.803194e-15
1356.9562,-34.164764,1.7673098e-15
1358.6328,-34.879543,2.0071248e-15
1360.3094,-35.607197,1.9546242e-15
1361.9858,-36.347702,1.934869e-15
1363.6626,-37.10169,1.7947366e-15
1365.3391,-37.868927,1.8163457e-15
1367.0159,-38.649986,1.918532e-15
1368.6924,-39.444767,1.904258e-15
1370.3689,-40.25352,1.8635811e-15
