Wavelengths,Flux,Fluxerr
1150.5784,1.3891355e-15,1.521151e-14
1152.2548,-4.951603e-16,1.4242662e-14
1153.9312,-8.154305e-15,1.3316653e-14
1155.6074,1.2967565e-14,1.3010597e-14
1157.2838,-1.5557908e-15,1.1520663e-14
1158.9601,-3.2355193e-15,1.0635962e-14
1160.6365,3.3912834e-15,1.0008273e-14
1162.3127,1.0500834e-14,9.626019e-15
1163.9891,7.359904e-15,8.8632825e-15
1165.6654,-1.8015129e-15,7.953747e-15
1167.3418,7.9762535e-15,7.8252554e-15
1169.0182,3.0930441e-15,7.0978955e-15
1170.6945,1.4687469e-15,6.577748e-15
1172.3708,3.4224593e-15,6.2353183e-15
1174.0471,2.8603384e-15,5.794551e-15
1175.7235,-8.202803e-15,5.2677216e-15
1177.3998,-6.465183e-15,4.9388844e-15
1179.0762,-3.080192e-15,4.6424394e-15
1180.7526,-1.4571325e-15,4.3843298e-15
1182.4288,-3.252431e-15,4.1401793e-15
1184.1052,5.294895e-16,3.999592e-15
1185.7815,-5.5883036e-16,3.7403535e-15
1187.4579,1.157154e-16,3.5897832e-15
1189.1342,-1.0669324e-15,3.386707e-15
1190.8105,5.5391127e-16,3.655113e-15
1192.4868,4.672899e-15,4.6188364e-15
1194.1632,6.266937e-15,5.5754097e-15
1195.8395,4.324729e-15,5.254914e-15
1197.5159,1.5529572e-15,3.1957304e-15
1199.1923,2.2772337e-15,2.868158e-15
1200.8685,4.397167e-15,2.8637475e-15
1202.5449,5.2852908e-15,2.8248453e-15
1204.2212,5.715264e-15,2.7558289e-15
1205.8976,7.015057e-15,5.2371094e-15
1207.5739,2.1120367e-14,6.925053e-15
1209.2502,5.1709095e-14,1.3173435e-14
1210.9266,9.7460404e-14,1.54202e-14
1212.6029,4.3590625e-13,1.8594136e-13
1214.2793,3.299964e-13,1.253132e-14
1215.9556,3.2291859e-13,1.7100973e-14
1217.632,3.166932e-13,1.33375485e-14
1219.3082,2.7179146e-13,1.08157815e-14
1220.9845,8.168831e-14,7.783111e-15
1222.6608,2.634578e-14,7.56412e-15
1224.3372,9.829749e-15,4.5276105e-15
1226.0134,1.2762603e-15,1.8553511e-15
1227.6898,5.0900984e-16,1.7895293e-15
1229.3662,1.3572471e-15,1.7949272e-15
1231.0425,1.4223092e-15,1.7763389e-15
1232.7189,4.1236941e-16,1.7002566e-15
1234.3951,-2.2806055e-15,1.5867945e-15
