Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1405.4227,1405.4227,0.0,1405,?,0.0
1479.1852,1479.1852,0.0,1479,?,0.0
1495.9493,1495.9493,0.0,1496,?,0.0
1507.6843,1507.6843,0.0,1508,?,0.0
1524.4486,1524.4486,0.0,1524,?,0.0
1552.9476,1552.9476,0.0,1553,?,0.0
1574.7411,1574.7411,0.0,1575,?,0.0
1633.4159,1633.4159,0.0,1633,?,0.0
1670.2971,1670.2971,0.0,1670,?,0.0
1683.7085,1683.7085,0.0,1684,?,0.0
1775.9117,1775.9117,0.0,1776,?,0.0
1883.2025,1883.2025,0.0,1883,?,0.0
1913.3782,1913.3782,0.0,1913,?,0.0
1931.8188,1931.8188,0.0,1932,?,0.0
0.0,1380.4967000000001,0.0,1380,?,False
0.0,1802.8767,0.0,1803,?,False
0.0,1971.8367,0.0,1972,?,False
0.0,1820.8867,0.0,1821,?,False
0.0,1841.6567,0.0,1842,?,False
0.0,1710.0967,0.0,1710,?,False
0.0,1723.9467,0.0,1724,?,False
0.0,1737.7867,0.0,1738,?,False
0.0,1753.0267,0.0,1753,?,False
0.0,1604.8467,0.0,1605,?,False
0.0,1428.9667,0.0,1429,?,False
0.0,1460.2167,0.0,1460,?,False
0.0,1418.7267,0.0,1419,?,False
